Method,PSNR,Top-25 Local PSNR,P95 MSE,P99 MSE,LPIPS,Global CIEDE2000,Top10 CIEDE2000,Gini,BER30,Delta PSNR vs Global,Delta Top-25 Local PSNR vs Global,Delta P95 MSE vs Global,Delta P99 MSE vs Global,Delta LPIPS vs Global,Delta Global CIEDE2000 vs Global,Delta Top10 CIEDE2000 vs Global,Delta Gini vs Global,Delta BER30 vs Global
MBRS crop-trained Global,36.263172,35.522213,0.0003016531971,0.000319958536,0.0023496,3.535857,5.159104,0.095007,0.113125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Global-RGB0.5-Control,35.1644855595014,34.447720797014455,0.0003813118117977865,0.0004026092407875694,0.002618282630573958,4.027173638761375,5.858652165814841,0.08831557663159412,0.11306250000000001,-1.0986864404985965,-1.074492202985546,7.965861469778652e-05,8.265070478756943e-05,0.0002686826305739582,0.49131663876137477,0.699548165814841,-0.006691423368405877,-6.249999999999312e-05
Global + OKLab only,35.943842122930974,35.207559398539075,0.00032278636455885135,0.0003422455384570639,0.002365542196203023,3.5772045382048288,5.215555905914027,0.09336337598584729,0.11325000000000003,-0.3193298770690234,-0.31465360146092536,2.1133167458851367e-05,2.2287002457063916e-05,1.594219620302314e-05,0.04134753820482873,0.05645190591402649,-0.001643624014152703,0.00012500000000002787
Hard Local-Tail,36.4423,35.754376,0.0002844551472,0.0003010726967,0.00221518,3.48479,5.075666,0.086897,0.1129375,0.17912800000000573,0.2321629999999999,-1.7198049899999992e-05,-1.8885839300000003e-05,-0.00013441999999999968,-0.051067000000000196,-0.08343800000000012,-0.008109999999999992,-0.0001875000000000071
Ours = Hard Local-Tail + global OKLab,36.854909,36.141895,0.000261992559,0.0002782322409,0.00191711,3.254091,4.772229,0.09213,0.113125,0.591737000000002,0.6196819999999974,-3.9660638099999986e-05,-4.1726295100000005e-05,-0.0004324899999999998,-0.2817660000000002,-0.38687499999999986,-0.0028769999999999907,0.0
