image_id,validation_index,source_filename,roi_x,roi_y,roi_width,roi_height,roi_mse_improvement,roi_texture_energy,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,local_psnr_global,local_psnr_hard,delta_local_psnr,p95_global,p95_hard,delta_p95_reduction,roi_residual_energy_reduction,roi_structured_tv_reduction,global_patch_mse_mean,hard_patch_mse_mean,global_gini,hard_gini,roi_ciede2000_hard,roi_ciede2000_oklab,roi_ciede2000_reduction,roi_chroma_error_hard,roi_chroma_error_oklab,roi_chroma_reduction,semantic_proxy_mean_rgb,semantic_proxy_texture,rank_main,external_local_range,external_vs_hard_local_gap,external_score_raw,external_selection_score,rank_external,roi_local_mse_hidden,roi_local_mse_maskwm,roi_local_mse_global,roi_local_mse_hard,roi_local_mse_oklab,content_diversity_distance
0803,2,0803.png,48,28,32,32,0.000434623914770782,0.0705173909664154,0.0004346238565631211,0.0003764443099498749,0.0003117120876494381,0.0002650765236467123,27.853061804301937,29.19081566367811,0.8066052220130295,0.0014959894469939172,0.001207072171382606,0.0002889172756113112,0.004996697884052992,0.008203808218240738,0.001075199106708169,0.0009172365535050631,0.06886206633825717,0.06283319128779578,4.306895732879639,3.138568162918091,1.1683275699615479,7.877542972564697,5.667572975158691,2.209969997406006,0.479604035615921,0.03161511570215225,27,0.0036138049326837063,0.001992773963138461,0.0024106078897602854,0.9905485133602767,1,0.005004486069083214,0.0013906811363995075,0.0016394335543736815,0.0012048096396028996,0.0006242042873054743,
0821,20,0821.png,8,28,32,32,0.00016464327927678823,0.12845316529273987,0.00016464325017295778,0.00014996694400906563,0.0001217739578957359,9.961464093066752e-05,30.570058336209097,31.473091553031843,0.2528433303604771,0.0009382004791405052,0.0008720891637494788,6.611131539102644e-05,0.0024974970147013664,0.003668844699859619,0.00078466662671417,0.0007132277823984623,0.06820452337715228,0.0904766555044272,6.5010223388671875,3.9659996032714844,2.535022735595703,7.111813545227051,4.1966705322265625,2.9151430130004883,0.3505714237689972,0.07841141521930695,48,0.0006813290528953075,0.002048080845270306,0.001056355025502853,0.4459068851973356,2,0.0024197620805352926,0.0031010911334306,0.0008769890409894288,0.0007123457617126405,0.00025819262373261154,
0802,1,0802.png,12,48,32,32,0.0001541698002256453,0.07958617061376572,0.00015416988753713667,0.00012845553457736968,9.88078536465764e-05,8.430099114775658e-05,29.470621180628953,30.107885183622077,0.22205391933369611,0.0011219945445191115,0.001085244002752006,3.675054176710546e-05,0.0018749855225905776,0.0028527602553367615,0.0010290772188454866,0.0009513796539977193,0.02267758007359994,0.03753158922278658,4.132347106933594,2.88718318939209,1.245163917541504,7.077169418334961,4.769598484039307,2.3075709342956543,0.2919362485408783,0.052391503006219864,49,0.002035127894487232,0.0008633332035969943,0.0012488081338233314,0.4049355963608623,3,0.0028563616797327995,0.0008212337852455676,0.0011296343291178346,0.0009754645288921893,0.0004253087390679866,
0829,28,0829.png,64,52,32,32,0.00035839679185301065,0.06741495430469513,0.00035839647171087563,0.0003006597049534321,0.00023805489763617516,0.0001867385726654902,28.4728774487307,29.734708482541976,0.5796268078670153,0.0011583906307350844,0.0010272763320244849,0.00013111429871059954,0.004557607229799032,0.004857070744037628,0.000927831744775176,0.0008101816056296229,0.0461609166156545,0.048743556361363315,5.57719087600708,3.3311376571655273,2.2460532188415527,8.069079399108887,4.780237674713135,3.288841724395752,0.3369382619857788,0.030423535034060478,42,0.0011785798706114292,0.0005900587420910597,0.0008085608598776161,0.393985304310989,4,0.0022423386108130217,0.0010637587402015924,0.001421386725269258,0.0010629899334162474,0.0003761624393519014,
0838,37,0838.png,52,32,32,32,0.00032900384394451976,0.06252972781658173,0.000329003669321537,0.0003132377937436104,0.00028153927996754646,0.00025503113283775747,30.14839797961063,31.955855857755388,1.2250339271710686,0.0008920314867282286,0.0006742648110957816,0.000217766675632447,0.00464850477874279,0.005244942381978035,0.0007404445204883814,0.0005709916586056352,0.06487019836224045,0.07639325095231701,5.132068157196045,2.8851466178894043,2.2469215393066406,6.673410415649414,3.824450969696045,2.848959445953369,0.3524303436279297,0.02750164456665516,5,0.0012867575569543988,0.00043080704926978797,0.0007956241366628092,0.35974256720613146,5,0.0017115892842411995,0.00042483172728680074,0.0009664073004387319,0.0006374034564942122,0.00021171402477193624,
0822,21,0822.png,68,84,32,32,0.0003702093963511288,0.07715532183647156,0.00037020945455878973,0.0003344469517469406,0.0003149245296501451,0.00027974043041467667,29.584289281810342,31.36532881714598,1.4481608211619736,0.0009979369933716953,0.0007147114229155704,0.00028322557045612484,0.005139087792485952,0.007294131442904472,0.0008471732144244015,0.0006185212405398488,0.06047301550351898,0.05581562810748649,4.892825126647949,2.6371803283691406,2.2556447982788086,7.040846824645996,3.9217987060546875,3.1190481185913086,0.2865745723247528,0.04080900549888611,1,0.00010845786891877651,0.0007945688557811081,0.000400947019807063,0.30374802371075216,6,0.0014705824432894588,0.0015790403122082353,0.0011004519183188677,0.0007302425219677389,0.00023832976876292378,
0850,49,0850.png,72,56,40,40,0.00024406140437349677,0.05747898101806641,0.00024398311506956816,0.00024406127631664275,0.00023267040443089273,0.00022170881857164204,31.08620577663812,32.71926223572312,0.6571405926747396,0.0009917288407450542,0.0008472496410831809,0.00014447919966187328,0.0041029262356460094,0.004942426458001137,0.0007080466020852327,0.0005502933054231107,0.059641118054255024,0.09107738237993974,6.5307488441467285,3.8546741008758545,2.676074743270874,6.213413238525391,3.539199113845825,2.6742141246795654,0.4106020927429199,0.03605526313185692,40,0.0008993127848953009,0.0006474184338003397,0.0006800994859077036,0.2891595860550842,7,0.0016317300032824278,0.0007324172183871269,0.0007787165814079344,0.0005346551770344377,0.0001779154990799725,
0837,36,0837.png,60,20,32,32,0.00022274733055382967,0.08072292804718018,0.00022274731600191444,0.00021961830556392668,0.0002001198267357217,0.00019293052901048213,30.735400563647694,32.06572114855474,1.004674333919823,0.0008355321042472497,0.0006519540766021237,0.00018357802764512599,0.0034024238120764494,0.0057534705847501755,0.0007141391979530454,0.0005598318530246615,0.05785942910454547,0.060200366921735145,6.770991325378418,4.094919204711914,2.676072120666504,7.227400302886963,4.2863898277282715,2.9410104751586914,0.31678441166877747,0.05047079175710678,15,0.0006350522162392735,0.0009068928193300962,0.0006477354501839728,0.2856740857234603,8,0.0018458999693393707,0.0012108477531000972,0.0008442283724434674,0.0006214810418896377,0.00022904812067281455,
0817,16,0817.png,4,76,48,48,0.00030529574723914266,0.033907936678992376,0.0002937780227512121,0.0002857519872486591,0.0003052957666416963,0.0002731987915467471,29.652786602049403,31.09056186185553,0.7709760053051831,0.0011449137818999588,0.000977716947090812,0.00016719683480914682,0.003976915031671524,0.00822468101978302,0.0009329053573310375,0.0007780513260513544,0.06823880584699103,0.07242032032291375,4.979151248931885,3.2627689838409424,1.7163822650909424,7.045943737030029,4.579489231109619,2.46645450592041,0.4578501284122467,0.033605340868234634,31,0.0011060987308155745,0.00021872630168218166,0.0006353577839036007,0.2844253254966503,9,0.001549711567349732,0.0004436128365341574,0.0010832316474989057,0.000777935900259763,0.0003100672911386937,
0806,5,0806.png,28,40,32,32,0.00022449728567153215,0.06046924367547035,0.00022449719836004078,0.0002115815319120884,0.00018574183599816429,0.00015452041407115757,30.710660468284946,32.044299660944155,0.8009217811905671,0.000859265448525548,0.0007219553226605058,0.0001373101258650422,0.0032206582836806774,0.00632786750793457,0.0006874027894809842,0.000586507492698729,0.05601458950667697,0.040669426545588826,5.900359153747559,3.383296489715576,2.5170626640319824,7.008525848388672,3.9809536933898926,3.0275721549987793,0.4593068063259125,0.030828719958662987,28,0.0010152194881811738,0.0005848442669957876,0.0007064437202643604,0.2792625261739675,10,0.0017170080682262778,0.000701788580045104,0.0008490513428114355,0.0006245540571399033,0.00020924060663674027,
