split,stage,method,alpha,endpoint_psnr,target_psnr,global_mse,global_psnr,top25_local_psnr,patch_mse_p95,patch_mse_p99,lpips,ciede2000_global,ciede2000_top10,gini,ber100,ber70,ber50,ber40,ber30,ber_comparable,ber_note
validation,matched,HiDDeN-64,0.2958206981420517,30.140571243601816,40.72,8.472275658277795e-05,40.719999222441345,38.81783006950636,0.00016484545514686033,0.00022155144708813152,0.01786179842427373,1.5330731070041657,2.9866584300994874,0.2550249656269809,,,,,,False,N/A: external decoder semantics are not verified as identical to MBRS
validation,matched,MaskWM-D_64,0.8192587196826935,38.988421514594066,40.72,8.47227347549051e-05,40.72000034135276,38.98512035119778,0.0001485163762117736,0.00018323643847543273,0.06123562164604664,2.339700105190277,5.043236727714539,0.21945015612904537,,,,,,False,N/A: external decoder semantics are not verified as identical to MBRS
validation,matched,MBRS crop-trained global,0.9375831782817841,40.160195807022546,40.72,8.472274930682033e-05,40.71999959541179,39.063971198382184,0.00015952817626384785,0.00022324679645680575,0.0609235604852438,2.1229054021835325,4.398734240531922,0.2256342957087626,0.0,0.0,0.0159375,0.043625,0.1110625,True,"same MBRS decoder, messages, fixed masks, and raw-bit definition"
validation,matched,Ours = Hard Local-Tail + global OKLab,0.9938476979732513,40.66639687129186,40.72,8.472274930682033e-05,40.71999959541179,39.05321676136024,0.00016121399647090585,0.00023067179050121904,0.0610067555680871,2.0936577558517455,4.366609830856323,0.2296710140097775,0.0,0.0,0.0158125,0.0438125,0.1106875,True,"same MBRS decoder, messages, fixed masks, and raw-bit definition"
validation,frozen_endpoint_alpha1,HiDDeN-64,1.0,30.140571243601816,40.72,,30.140571243601816,,,,,,,,,,,,,,
validation,frozen_endpoint_alpha1,MaskWM-D_64,1.0,38.988421514594066,40.72,,38.988421514594066,,,,,,,,,,,,,,
validation,frozen_endpoint_alpha1,MBRS crop-trained global,1.0,40.160195807022546,40.72,,40.160195807022546,,,,,,,,,,,,,,
validation,frozen_endpoint_alpha1,Ours = Hard Local-Tail + global OKLab,1.0,40.66639687129186,40.72,,40.66639687129186,,,,,,,,,,,,,,
