method,attack,bit_accuracy,ber
JPEG Global,Identity,1.0,0.0
JPEG Global,RealJPEG50,0.7206249833106995,0.27937501668930054
JPEG Global,RealJPEG30,0.6775000095367432,0.32249999046325684
JPEG OKLab-tail,Identity,0.9996874928474426,0.00031250715255737305
JPEG OKLab-tail,RealJPEG50,0.5506250262260437,0.4493749737739563
JPEG OKLab-tail,RealJPEG30,0.5503125190734863,0.44968748092651367
