method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share
Global continuation,0,0.0002425397397018969,36.15217092858572,0.8942219614982605,0.9640994071960449,nan,nan,0.002481781644746661,0.8828115463256836,0.8766826391220093,0.83641117811203,0.8250422477722168,0.8187631964683533,0.05164039134979248,0.00208977865986526,0.0022299352567642927,0.00027569953817874193,0.0002786057521007024,35.595639613755175,0.060309157400961814,0.10721228584891931,1.178912309339122,0.14736403866739026
Global continuation,1,0.00020335630688350648,36.91742353860671,0.9747020602226257,0.9913299083709717,nan,nan,0.0012841259595006704,0.9714441895484924,0.9821591377258301,0.9356466233730316,0.9275574088096619,0.9268954992294312,0.05460172891616821,0.00042888481402769685,0.0004292452649679035,0.00024033518275246024,0.00025365845795022324,36.19182648019243,0.07810770109978143,0.14146485236261905,1.2693417729682568,0.1586677216210321
Global continuation,2,0.00022517422621604055,36.47481320982034,0.9856404066085815,0.9952106475830078,nan,nan,0.0028097147587686777,0.9807150363922119,0.9822491407394409,0.9708418250083923,0.9619174599647522,0.9564713835716248,0.02033168077468872,0.0006127851083874702,0.0006696277414448559,0.0002544933813624084,0.00025605550763430074,35.94323507925105,0.07206366244369919,0.13676957333089976,1.1392647697970917,0.14240809622463646
Global continuation,3,0.0001856317976489663,37.313476296221744,0.9667208194732666,0.988632082939148,nan,nan,0.002148219384253025,0.9633055925369263,0.966128408908844,0.9421484172344208,0.935278058052063,0.9331986308097839,0.030850350856781006,0.001376246684230864,0.0015779968816787004,0.00020349286205600947,0.0002061179548036307,36.91450819972204,0.04118650971316329,0.07285492035076115,1.1187485011034382,0.13984356263792977
Global continuation,4,0.00018269151041749865,37.382816336244666,0.9603862166404724,0.9866843223571777,nan,nan,0.0021246569231152534,0.9528613090515137,0.9663829207420349,0.890296995639801,0.8834935426712036,0.8814291954040527,0.0828893780708313,0.0016640041721984744,0.0020734115969389677,0.00020852425950579345,0.0002150806067220401,36.80843412361132,0.06936507236937073,0.12457489691397469,1.188803282561159,0.14860041032014487
Global continuation,5,0.00022774112585466355,36.425585367147335,0.9744722247123718,0.991342306137085,nan,nan,0.0036662493366748095,0.9679419994354248,0.9718416929244995,0.95298171043396,0.9442577362060547,0.937166154384613,0.027583956718444824,0.001653084298595786,0.002173318527638912,0.00028590820147655904,0.00029281920433277264,35.437733864226146,0.10640749896906607,0.1858316514405193,1.293728431356653,0.16171605391958163
Global continuation,6,0.0002591183583717793,35.865018164348044,0.9584978818893433,0.985948920249939,nan,nan,0.0023835699539631605,0.949684739112854,0.9459229707717896,0.9372265934944153,0.9313693046569824,0.9278029203414917,0.014553666114807129,0.0009504996705800295,0.0010062743676826358,0.00036827242001891136,0.00040935887227533385,34.33830804311249,0.1696883287176502,0.3341869314354053,1.7189515101166393,0.2148689387645799
Global continuation,7,0.0002671578258741647,35.73232099474017,0.9252419471740723,0.9747486114501953,nan,nan,0.0016847155056893826,0.9145457148551941,0.9215901494026184,0.8709739446640015,0.8575166463851929,0.8484867811203003,0.06407350301742554,0.001030754647217691,0.0010473266011103988,0.0003791871713474393,0.000395197253965307,34.211463641273845,0.145055179922735,0.35174249129087987,1.7406707916155189,0.21758384895193986
Global continuation,8,0.00018474661919753999,37.33423500306815,0.9777494668960571,0.9924749732017517,nan,nan,0.001992203528061509,0.9721949100494385,0.9725388884544373,0.9627542495727539,0.9593979120254517,0.9567446112632751,0.013140976428985596,0.001330180442892015,0.0013644942082464695,0.00022051662381272763,0.00022474619254353456,36.56558665343533,0.07714234429656837,0.1359705213825493,1.2331401837946578,0.15414252297433223
Global continuation,9,0.00027911277720704675,35.54220281950996,0.9772018194198608,0.991417407989502,nan,nan,0.0031084122601896524,0.9734969139099121,0.9737524390220642,0.9650623500347137,0.9638903141021729,0.9630274772644043,0.009862124919891357,0.0006962444167584181,0.000752745836507529,0.00036995194386690855,0.0003866359038511291,34.31854686389456,0.12860873838511824,0.22801382172027043,1.4008304977797812,0.17510381222247265
Global continuation,10,0.00019507104298099875,37.098071939930854,0.9508508443832397,0.9835295677185059,nan,nan,0.0029259033035486937,0.9423395395278931,0.9413191080093384,0.9210669696331024,0.9034726619720459,0.8874684572219849,0.03784644603729248,0.0008831820450723171,0.0009025357430800796,0.00022239558165892959,0.00022512293799081817,36.52873845148464,0.06721161379075284,0.11855346809104168,1.1584405377322398,0.14480506721652997
Global continuation,11,0.00021806017321068794,36.61423647279009,0.932879626750946,0.9771031141281128,nan,nan,0.0019283773144707084,0.9283514618873596,0.940331757068634,0.8545275032520294,0.8167513608932495,0.8044904470443726,0.12358039617538452,0.0018775342032313347,0.0025414777919650078,0.0002523149596527219,0.00026072479522554204,35.98056999573486,0.057252853152504724,0.10438969987163196,1.2083086655796005,0.15103858319745006
Global continuation,12,0.00017840979853644967,37.48581297193916,0.9599159955978394,0.986714243888855,nan,nan,0.001824675127863884,0.9510328769683838,0.9514036178588867,0.9134914875030518,0.8999902606010437,0.8911575078964233,0.05141335725784302,0.0025632246397435665,0.0026992422062903643,0.00021685405226889998,0.00022891524349688552,36.63832457944183,0.07998660056277807,0.1491228589889376,1.3017036403110547,0.16271295503888183
Global continuation,13,0.0002748294791672379,35.609366851750416,0.9812077283859253,0.9924994707107544,nan,nan,0.0023962778504937887,0.9782533645629883,0.9803396463394165,0.9685765206813812,0.9667747020721436,0.9657840728759766,0.01356494426727295,0.0026096573565155268,0.003035130677744746,0.0003323830896988511,0.0003416432300582528,34.78361079464614,0.09080451143051062,0.159173993459482,1.2627944382744472,0.1578493047843059
Global continuation,14,0.00019213846826460212,37.16385675833183,0.9121448397636414,0.969822883605957,nan,nan,0.002478604670614004,0.9059465527534485,0.911517858505249,0.8600086569786072,0.8459562659263611,0.8351143598556519,0.06556159257888794,0.0017250347882509232,0.0022262500133365393,0.0002210490347351879,0.00022171668751980178,36.55511377207312,0.06724860020640025,0.11835020664518602,1.1669372948730146,0.14586716185912682
Global continuation,15,0.00025444370112381876,35.944082958263614,0.9820413589477539,0.9937793612480164,nan,nan,0.0017964772414416075,0.9771674871444702,0.9804561734199524,0.9590552151203156,0.9561210870742798,0.9545442461967468,0.024335086345672607,0.001143875764682889,0.0015295050106942654,0.0003012663801200688,0.00030888323817634955,35.21049330799271,0.09391235671917242,0.16695437687593498,1.2177174994029158,0.15221468742536448
Global continuation,16,0.00019004249770659953,37.21149270333103,0.9561946392059326,0.9849740862846375,nan,nan,0.0022903962526470423,0.9495943784713745,0.9571999311447144,0.9091727435588837,0.898440957069397,0.8970873355865479,0.05875897407531738,0.0007316560950130224,0.000746929319575429,0.0002465861907694489,0.00024851372654666193,36.08031248261589,0.12237817690477175,0.21896747002620043,1.3781543639183171,0.17226929548978964
Global continuation,17,0.00019107956904917955,37.187857468725355,0.9167975783348083,0.9709197282791138,nan,nan,0.0021052840165793896,0.9105665683746338,0.9303425550460815,0.823652982711792,0.8143913149833679,0.8083581924438477,0.11595124006271362,0.0010218721581622958,0.0010537245543673635,0.00022463462664745748,0.00023046791466185823,36.48523297928444,0.08464565095732642,0.14905693196697445,1.2076856277225136,0.1509607034653142
Global continuation,18,0.00026303422055207193,35.799877464526894,0.9793598055839539,0.9924906492233276,nan,nan,0.00255047925747931,0.9759379625320435,0.9768141508102417,0.9652187824249268,0.9567406177520752,0.9541613459587097,0.020073533058166504,0.0007919010822661221,0.0008252173429355025,0.00032555515645071864,0.000344980537192896,34.87375421495527,0.10475446887882771,0.1864462007271626,1.3192125963445842,0.16490157454307303
Global continuation,19,0.0004269131750334054,33.69660442160179,0.9798952341079712,0.9921977519989014,nan,nan,0.002999040996655822,0.9758934378623962,0.9770917892456055,0.9679029583930969,0.9645618796348572,0.9618474841117859,0.012529909610748291,0.0012740527745336294,0.0013180949026718736,0.0005613623070530593,0.0005706683587050065,32.507567516382224,0.13387112831031936,0.25981718727334674,1.4835903020619097,0.1854487877577387
Global continuation,20,0.00019837745639961213,37.02507682572611,0.9669641852378845,0.9890012741088867,nan,nan,0.001373886363580823,0.9603634476661682,0.969273567199707,0.9369749128818512,0.9197496771812439,0.9043905735015869,0.049523890018463135,0.0006446850020438433,0.0006996972369961441,0.00022783054737374187,0.00023279084052774124,36.423880464271235,0.0691620437169616,0.12195264956910347,1.1848911999893268,0.14811139999866585
Global continuation,21,0.00038230305653996766,34.17592229752002,0.9766942858695984,0.9917412996292114,nan,nan,0.0029476135969161987,0.9703555107116699,0.973116934299469,0.9564315974712372,0.9289292097091675,0.9093658924102783,0.044187724590301514,0.0008691914845257998,0.000877323211170733,0.0004947605775669217,0.0005203574110055342,33.05604912169893,0.1409503659675323,0.25161884921749017,1.3649867871573589,0.17062334839466986
Global continuation,22,0.00021788396406918764,36.617747319957786,0.9475132822990417,0.9819021224975586,nan,nan,0.001595085021108389,0.9408993721008301,0.9425021409988403,0.9091765284538269,0.9066915512084961,0.9046233892440796,0.03581058979034424,0.0007709634373895824,0.000788280158303678,0.00030567063367925584,0.0003190017305314541,35.14746282712136,0.1546197329119713,0.274787969006926,1.4979553188608266,0.18724441485760332
Global continuation,23,0.00023954070638865232,36.2062067407497,0.9308009147644043,0.9761795997619629,nan,nan,0.0016303150914609432,0.9242005348205566,0.935126781463623,0.8636769354343414,0.8459988832473755,0.8332793116569519,0.08912789821624756,0.0008513544453307986,0.001055300235748291,0.0002792108862195164,0.0002850255186785944,35.5406765290813,0.07354812854418845,0.1291745850193587,1.1913888314186396,0.14892360392732995
Global continuation,24,0.00020576971292030066,36.86618548327552,0.9423787593841553,0.9810388088226318,nan,nan,0.0015997453592717648,0.9320671558380127,0.9330786466598511,0.9108448028564453,0.9071113467216492,0.9056035280227661,0.025967299938201904,0.0007109891157597303,0.000737651193048805,0.00024087261408567429,0.0002449436542519834,36.18212574130192,0.06946915495889303,0.12284772468132485,1.2020036456835081,0.15025045571043852
Global continuation,25,0.00023150625929702073,36.354372623505306,0.9472219944000244,0.9826831817626953,nan,nan,0.0022508467081934214,0.9387529492378235,0.9390699863433838,0.9125654697418213,0.9094554781913757,0.9083555936813354,0.029614508152008057,0.005688181146979332,0.006051663774996996,0.0003322840784676373,0.00035993986966786906,34.7849046762681,0.15672819874235167,0.2911042560582044,1.595630124390413,0.19945376554880162
