method,classification,status,payload_bits,native_model_resolution,official_default_canvas,fixed_eval_output_resolution,checkpoint,checkpoint_sha256,manifest_sha256,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,clean_bit_accuracy,clean_ber,crop_protocol,quality_reference_view,bit_accuracy_100,ber_100,bit_accuracy_70,ber_70,bit_accuracy_50,ber_50,bit_accuracy_40,ber_40,bit_accuracy_30,ber_30
D_64bits,REFERENCE,completed_fixed_manifest_reference,64,256,512,128,/mnt/wmcontent/GLX/icassp/MBRS/external_baselines/checkpoints/maskwm/D_64bits.pth,0eb1b2bfe37e0479a74483a2d07cd4a28fd113c4d83c4e4396c12fad9e5393b2,36790b02ca4754f4209539b91b2fe014833001c4202087130ae9c440fbfd5339,40.95037799056012,0.9834405148029327,0.9938476014137269,0.0008791472594020888,40.10549547402654,0.00010773495074317907,0.1351027515425595,1.0,0.0,MaskWM-on-MBRS rectangle canvas: wm*mask with normalized zero outside; not native CropResize,official-style 128->512->128 roundtrip of each manifest host; avoids a resampling floor being attributed to watermark,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ED_64bits,REFERENCE,completed_fixed_manifest_reference,64,256,512,128,/mnt/wmcontent/GLX/icassp/MBRS/external_baselines/checkpoints/maskwm/ED_64bits.pth,8a0230442d7d20422cb59c00f6a2823acd7794a14dde8a66245673cfe0d19f9d,36790b02ca4754f4209539b91b2fe014833001c4202087130ae9c440fbfd5339,42.156008851503,0.9874808418750763,0.995648752450943,0.0005533829983323812,41.09902382371911,8.853009654558264e-05,0.15283493152677274,1.0,0.0,MaskWM-on-MBRS rectangle canvas: wm*mask with normalized zero outside; not native CropResize,official-style 128->512->128 roundtrip of each manifest host; avoids a resampling floor being attributed to watermark,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
