image_id,validation_index,source_filename,global_psnr,ours_psnr,psnr_mismatch,global_local_psnr,ours_local_psnr,delta_local_psnr_ours_minus_global,global_p95_mse,ours_p95_mse,delta_p95_mse_ours_minus_global,content_mean_luma,content_texture,roi_x,roi_y,roi_size,roi_mse_reduction,roi_color_reduction,roi_residual_energy_reduction,roi_structure_contrast,roi_texture_energy,roi_content_score,roi_mean_luma,roi_color_spread,roi_score,psnr_match_eligible,selection_rank,selected,sample_number,content_diversity_distance_from_sample_1
0846,45,0846.png,42.56409107491137,42.57655031258558,0.012459237674214307,40.9073347987994,40.963809432468366,0.05647463366896943,8.915341459214687e-05,8.701284968992695e-05,-2.1405649022199214e-06,0.5315220952033997,0.010048733092844486,48,28,32,5.865083949174732e-06,0.10225929319858551,0.00021630733681377023,0.000262286514043808,0.02142796851694584,0.1384269092231989,0.7626994848251343,0.11699894070625305,0.9207441844587162,True,1,True,1,
0821,20,0821.png,39.99045346737774,39.993394607445346,0.0029411400676053745,37.92331883732588,37.962929876137665,0.03961103881178474,0.0001770018607203383,0.00017449161896365695,-2.510241756681353e-06,0.3505714237689972,0.021234549582004547,84,32,32,3.7266590879880823e-06,0.07226020097732544,0.00011037966760341078,7.980922237038612e-05,0.037476636469364166,0.26746609061956406,0.42506206035614014,0.2299894541501999,0.9491855727272931,True,2,True,2,0.4516749642789364
0832,31,0832.png,41.435711520209225,41.43504616848945,0.000665351719774776,39.32169099275795,39.356143024895786,0.03445203213783543,0.00013125892655807547,0.00012864942254964262,-2.6095040084328502e-06,0.3638356626033783,0.013014059513807297,88,8,32,3.398381750230328e-06,0.058605920523405075,0.0001162747066700831,9.263399988412857e-05,0.031902581453323364,0.26732489466667175,0.6169344186782837,0.2354223132133484,0.8877119431573783,True,3,,,0.4163944832980633
0849,48,0849.png,41.009897268938936,40.982497961030404,0.02739930790853151,39.7392418959566,39.76675590013274,0.02751400417614036,0.00011411564082663972,0.00011487415576993953,7.585149432998151e-07,0.39030250906944275,0.019979238510131836,8,80,32,3.916139576176647e-06,0.04497499763965607,0.000157154630869627,0.00014658691361546516,0.03575143218040466,0.2862936556339264,0.6264661550521851,0.25054222345352173,0.944660239103464,True,4,,,0.44802817329764366
0836,35,0836.png,39.666633255378,39.68722199184875,0.020588736470749325,37.40518240043005,37.40325753229106,-0.0019248681389925082,0.00020690587189164944,0.00021298834690242074,6.082475010771304e-06,0.5595678687095642,0.010070319287478924,36,80,32,7.896344868640881e-06,0.06786932051181793,0.00027057150145992637,4.6564731746912e-05,0.01649242639541626,0.17903666198253632,0.44710463285446167,0.16254423558712006,0.7898643665396015,True,5,,,0.11922270804643631
0848,47,0848.png,39.75530140412934,39.801755798695304,0.04645439456596279,37.169413795594444,37.16731014528608,-0.0021036503083635694,0.0002306484238943085,0.00024049896819633432,9.85054430202581e-06,0.4015892744064331,0.01314551942050457,56,72,32,5.556192263611592e-06,0.08069242537021637,0.00018223078222945333,0.0001590684987604618,0.036660611629486084,0.3190210461616516,0.585719883441925,0.2823604345321655,0.9440498378909304,True,6,,,0.47304295375943184
0816,15,0816.png,42.91673877921215,42.88784819828723,0.028890580924922915,41.30363000121469,41.297752647274216,-0.005877353940476837,8.132056063914206e-05,8.194829933927394e-05,6.277387001318857e-07,0.5161490440368652,0.007860850542783737,52,12,32,3.4139641229558038e-06,0.09487144649028778,0.00013000697072129697,0.00023218197748064995,0.014033952727913857,0.16279877163469791,0.7356435060501099,0.14876481890678406,0.9238764134554683,True,7,,,0.08765633776783943
0845,44,0845.png,42.1541429547985,42.11070354235702,0.04343941244147942,40.586564485478014,40.57587862820177,-0.010685857276243382,9.921431956172455e-05,9.812656935537234e-05,-1.0877502063522115e-06,0.6150885820388794,0.01023303996771574,44,16,32,4.602459739544429e-06,0.11012950539588928,0.0001896046451292932,0.00021689990535378456,0.014971188269555569,0.13505265768617392,0.7060677409172058,0.12008146941661835,0.8947298616232722,True,8,,,0.09046877175569534
0830,29,0830.png,42.24888912420969,42.26405018299961,0.015161058789921356,40.81160761018548,40.770809286879114,-0.0407983233063689,9.071011481864844e-05,8.875576713762712e-05,-1.954347681021318e-06,0.5022552609443665,0.007450220640748739,28,44,32,3.465860800133669e-06,0.08657708019018173,0.0001703486341284588,8.250749669969082e-05,0.027280865237116814,0.2210185807198286,0.5116388201713562,0.1937377154827118,0.9335598574589375,True,9,,,0.19313843362033367
0826,25,0826.png,40.38042199821966,40.40034147751175,0.019919479292092035,38.08669488892965,38.04566325597969,-0.041031632949959373,0.000180587092472706,0.0001820554753066972,1.4683828339911997e-06,0.47435447573661804,0.009718676097691059,8,8,32,7.0179003159864806e-06,0.13577257096767426,0.00026038294890895486,0.00013887672685086727,0.013385026715695858,0.3570865085348487,0.5595545768737793,0.34370148181915283,0.972678438607886,True,10,,,0.5118929296731949
