method,global_psnr,top10_lpips,lpips_tail_gap,bottom10_ssim,ssim_tail_gap
Global continuation,36.22740573604786,0.0013563461834564805,0.0008463030098937452,0.9176024794578552,0.03494684770703316
Hard Top25,36.410579423570134,0.0012927381321787834,0.0008163137827068567,0.9206298589706421,0.03359776362776756
Hard Top10,36.407158553631504,0.0013562452513724566,0.0008699364261701703,0.9200698137283325,0.03396902233362198
Gradient-aware Top10 alpha2,36.297072629231565,0.0012050828663632274,0.0007390778628177941,0.9201323986053467,0.033450208604335785
