method,image_index,crop_ratio,repeat,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,schema,logit_mean,logit_abs_mean
TrustMark Q,2,100%,2,100,0.0,1.0,1,1,1,1,0.008732309564948082,8.733049392700195
TrustMark Q,2,100%,3,100,0.0,1.0,1,1,1,1,0.008732309564948082,8.733049392700195
TrustMark Q,2,100%,4,100,0.0,1.0,1,1,1,1,0.008732309564948082,8.733049392700195
TrustMark Q,2,70%,0,100,0.01,0.99,1,1,1,1,0.12191806733608246,6.240102767944336
TrustMark Q,2,70%,1,100,0.0,1.0,1,1,1,1,0.26246345043182373,7.101625919342041
TrustMark Q,2,70%,2,100,0.01,0.99,1,1,1,1,0.28151509165763855,7.529478549957275
TrustMark Q,2,70%,3,100,0.01,0.99,1,1,1,1,0.20270007848739624,6.587037563323975
TrustMark Q,2,70%,4,100,0.0,1.0,1,1,1,1,0.24659638106822968,7.423344135284424
TrustMark Q,2,50%,0,100,0.14,0.86,0,0,0,-1,-0.06790531426668167,3.6167943477630615
TrustMark Q,2,50%,1,100,0.06,0.94,0,0,0,-1,0.7106181383132935,5.048387050628662
TrustMark Q,2,50%,2,100,0.01,0.99,1,1,1,1,0.7183990478515625,4.935295581817627
TrustMark Q,2,50%,3,100,0.08,0.92,0,0,0,-1,0.43282267451286316,3.487485408782959
TrustMark Q,2,50%,4,100,0.03,0.97,1,1,1,1,0.2985115945339203,4.075252532958984
TrustMark Q,2,40%,0,100,0.13,0.87,0,0,0,-1,0.18692529201507568,2.5784072875976562
TrustMark Q,2,40%,1,100,0.14,0.86,0,0,0,-1,0.02846546657383442,2.3332459926605225
TrustMark Q,2,40%,2,100,0.18,0.8200000000000001,0,0,0,-1,0.1136191189289093,2.0887982845306396
TrustMark Q,2,40%,3,100,0.15,0.85,0,0,0,-1,-0.10749661177396774,2.0068464279174805
TrustMark Q,2,40%,4,100,0.13,0.87,0,0,0,-1,0.5889480113983154,3.0266764163970947
TrustMark Q,2,30%,0,100,0.22,0.78,0,0,0,-1,0.03290119767189026,1.2346335649490356
TrustMark Q,2,30%,1,100,0.21,0.79,0,0,0,-1,-0.0020623779855668545,1.4776344299316406
TrustMark Q,2,30%,2,100,0.21,0.79,0,0,0,-1,-0.021233592182397842,1.3738212585449219
TrustMark Q,2,30%,3,100,0.21,0.79,1,0,0,3,0.06719886511564255,1.411566972732544
TrustMark Q,2,30%,4,100,0.21,0.79,0,0,0,-1,-0.11388233304023743,1.1148093938827515
TrustMark Q,3,100%,0,100,0.0,1.0,1,1,1,1,-0.4307982921600342,8.671503067016602
TrustMark Q,3,100%,1,100,0.0,1.0,1,1,1,1,-0.4307982921600342,8.671503067016602
TrustMark Q,3,100%,2,100,0.0,1.0,1,1,1,1,-0.4307982921600342,8.671503067016602
TrustMark Q,3,100%,3,100,0.0,1.0,1,1,1,1,-0.4307982921600342,8.671503067016602
TrustMark Q,3,100%,4,100,0.0,1.0,1,1,1,1,-0.4307982921600342,8.671503067016602
TrustMark Q,3,70%,0,100,0.02,0.98,1,1,1,1,-0.4800415337085724,6.995751857757568
TrustMark Q,3,70%,1,100,0.01,0.99,1,1,1,1,-0.7178241610527039,7.773843288421631
TrustMark Q,3,70%,2,100,0.0,1.0,1,1,1,1,-0.49465110898017883,8.369779586791992
TrustMark Q,3,70%,3,100,0.01,0.99,1,1,1,1,-0.6941425800323486,7.310568332672119
TrustMark Q,3,70%,4,100,0.0,1.0,1,1,1,1,-0.6143863201141357,8.423757553100586
TrustMark Q,3,50%,0,100,0.05,0.95,1,1,1,1,-0.14376020431518555,3.6999197006225586
TrustMark Q,3,50%,1,100,0.01,0.99,1,1,1,1,-0.43337661027908325,6.221240043640137
TrustMark Q,3,50%,2,100,0.02,0.98,1,1,1,1,-0.4275936186313629,6.102419376373291
TrustMark Q,3,50%,3,100,0.08,0.92,0,0,0,-1,-0.1804742068052292,3.5783801078796387
TrustMark Q,3,50%,4,100,0.01,0.99,1,1,1,1,-0.3673018217086792,5.6147685050964355
TrustMark Q,3,40%,0,100,0.07,0.9299999999999999,0,0,0,-1,-0.457520455121994,3.5879909992218018
TrustMark Q,3,40%,1,100,0.08,0.92,0,0,0,-1,-0.1341429203748703,2.658358097076416
TrustMark Q,3,40%,2,100,0.2,0.8,0,0,0,-1,-0.11889611929655075,2.2645130157470703
TrustMark Q,3,40%,3,100,0.19,0.81,0,0,0,-1,0.11904943734407425,2.094560146331787
TrustMark Q,3,40%,4,100,0.1,0.9,0,0,0,-1,-0.00919109582901001,3.4036865234375
TrustMark Q,3,30%,0,100,0.3,0.7,0,0,0,-1,0.03275350481271744,1.366581916809082
TrustMark Q,3,30%,1,100,0.15,0.85,0,0,0,-1,-0.23788109421730042,1.5092483758926392
TrustMark Q,3,30%,2,100,0.23,0.77,0,0,0,-1,0.005331878550350666,1.8486405611038208
TrustMark Q,3,30%,3,100,0.25,0.75,0,0,0,-1,-0.1145283579826355,1.7402044534683228
TrustMark Q,3,30%,4,100,0.17,0.83,0,0,0,-1,-0.08582551777362823,1.3465076684951782
TrustMark Q,4,100%,0,100,0.0,1.0,1,1,1,1,-0.9369992017745972,9.522651672363281
TrustMark Q,4,100%,1,100,0.0,1.0,1,1,1,1,-0.9369992017745972,9.522651672363281
TrustMark Q,4,100%,2,100,0.0,1.0,1,1,1,1,-0.9369992017745972,9.522651672363281
TrustMark Q,4,100%,3,100,0.0,1.0,1,1,1,1,-0.9369992017745972,9.522651672363281
TrustMark Q,4,100%,4,100,0.0,1.0,1,1,1,1,-0.9369992017745972,9.522651672363281
TrustMark Q,4,70%,0,100,0.0,1.0,1,1,1,1,-0.9835073351860046,7.753464221954346
TrustMark Q,4,70%,1,100,0.0,1.0,1,1,1,1,-1.0353888273239136,8.058331489562988
TrustMark Q,4,70%,2,100,0.0,1.0,1,1,1,1,-1.0255504846572876,8.445611000061035
TrustMark Q,4,70%,3,100,0.0,1.0,1,1,1,1,-0.9851363301277161,7.3697123527526855
TrustMark Q,4,70%,4,100,0.0,1.0,1,1,1,1,-1.0949422121047974,8.289360046386719
TrustMark Q,4,50%,0,100,0.05,0.95,1,1,1,1,-0.32622912526130676,4.807354927062988
TrustMark Q,4,50%,1,100,0.03,0.97,1,1,1,1,-0.5246500968933105,5.897727012634277
TrustMark Q,4,50%,2,100,0.05,0.95,1,1,1,1,-0.628497838973999,5.997396945953369
TrustMark Q,4,50%,3,100,0.05,0.95,1,1,1,1,-0.7143753170967102,4.3082780838012695
TrustMark Q,4,50%,4,100,0.06,0.94,1,1,1,1,-0.5779779553413391,4.5462565422058105
TrustMark Q,4,40%,0,100,0.09,0.91,0,0,0,-1,-0.4099344313144684,3.892706871032715
TrustMark Q,4,40%,1,100,0.06,0.94,0,0,0,-1,-0.47055914998054504,3.7427306175231934
TrustMark Q,4,40%,2,100,0.16,0.84,0,0,0,-1,-0.29796141386032104,2.5269196033477783
TrustMark Q,4,40%,3,100,0.12,0.88,0,0,0,-1,-0.16780178248882294,2.683439016342163
TrustMark Q,4,40%,4,100,0.04,0.96,1,1,1,1,-0.5948274731636047,3.648117780685425
TrustMark Q,4,30%,0,100,0.25,0.75,0,0,0,-1,-0.1272950917482376,1.2127593755722046
TrustMark Q,4,30%,1,100,0.19,0.81,0,0,0,-1,0.007740488275885582,1.858457088470459
TrustMark Q,4,30%,2,100,0.17,0.83,0,0,0,-1,-0.2254006564617157,2.067819118499756
TrustMark Q,4,30%,3,100,0.23,0.77,0,0,0,-1,-0.1561562865972519,1.5608841180801392
TrustMark Q,4,30%,4,100,0.2,0.8,0,0,0,-1,0.011082785204052925,1.2814503908157349
TrustMark Q,5,100%,0,100,0.01,0.99,1,1,1,1,-0.03474126756191254,7.561614990234375
TrustMark Q,5,100%,1,100,0.01,0.99,1,1,1,1,-0.03474126756191254,7.561614990234375
TrustMark Q,5,100%,2,100,0.01,0.99,1,1,1,1,-0.03474126756191254,7.561614990234375
TrustMark Q,5,100%,3,100,0.01,0.99,1,1,1,1,-0.03474126756191254,7.561614990234375
TrustMark Q,5,100%,4,100,0.01,0.99,1,1,1,1,-0.03474126756191254,7.561614990234375
