image_id,validation_index,source_filename,PSNR_base,PSNR_ours,local_PSNR_base,local_PSNR_ours,delta_local_PSNR,P95_base,P95_ours,delta_P95,Gini_base,Gini_ours,dense_P16S8_mean_improvement,patch_RGB_MSE_base_mean,patch_RGB_MSE_ours_mean,absolute_residual_energy_base,absolute_residual_energy_ours,roi_x,roi_y,roi_size,roi_mse_improvement,roi_texture_energy,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,ranking_grid,roi_search_grid,rank
0805,4,0805.png,37.30370959042153,37.58719610921472,36.39310283639667,36.91782134950919,0.5247185131125178,0.00023518584202975035,0.00020817459517274983,2.7011246857000515e-05,0.09025656441992624,0.06753929367150291,1.3033357390668243e-05,0.00018604974320624024,0.00017429314902983606,0.010595114901661873,0.010292265564203262,36,52,32,4.007171810371801e-05,0.03729341924190521,4.007171810371801e-05,3.532754257321358e-05,2.995408916225036e-05,2.5730223569553345e-05,native32_nonoverlap,pixel residual map; stride4 candidates,1
0844,43,0844.png,35.57900431736418,36.27410521386426,34.46261694280785,34.97577761048882,0.513160667680971,0.00036555105907609686,0.0003239054713048972,4.1645587771199644e-05,0.10773181528634886,0.1291250749106693,4.305225957068615e-05,0.00027675769524648786,0.00023582486028317362,0.01292021106928587,0.011875839903950691,28,24,32,6.034363468643278e-05,0.0037895385175943375,6.034363468643278e-05,5.80600555986166e-05,5.638039955455396e-05,5.425179915619083e-05,native32_nonoverlap,pixel residual map; stride4 candidates,2
0820,19,0820.png,36.59072570066416,36.89900104683272,35.725001928602346,36.21048871074177,0.4854867821394251,0.0002751710417214781,0.00024810776812955737,2.7063273591920733e-05,0.09852746318681302,0.07509033159882893,1.6089134078356437e-05,0.00021924385509919375,0.0002042207634076476,0.01157755870372057,0.011199567466974258,52,32,32,4.1627674363553524e-05,0.08617228269577026,4.1627674363553524e-05,4.0467977523803714e-05,4.032326655255424e-05,3.53682080458384e-05,native32_nonoverlap,pixel residual map; stride4 candidates,3
0833,32,0833.png,35.80579636302635,36.32649967007572,34.89728085128313,35.369862404576175,0.47258155329304685,0.0003372146966285072,0.00030718668858753517,3.0028008040972054e-05,0.08869598445265041,0.09673876858377206,3.137003295705654e-05,0.00026267598150298,0.00023299689928535372,0.012519476935267448,0.01177064049988985,20,60,32,5.40983492101077e-05,0.019532334059476852,5.40983492101077e-05,4.803297575563192e-05,4.518209283964502e-05,4.118794822716154e-05,native32_nonoverlap,pixel residual map; stride4 candidates,4
0845,44,0845.png,36.82935558825827,37.145085795873364,35.996698830308354,36.468535379746164,0.4718365494378105,0.0002618162252474576,0.00023156402312451974,3.0252202122937888e-05,0.10064483682937517,0.07809919130534713,1.6297581169055775e-05,0.00020752212731167674,0.00019297070684842765,0.011317371390759945,0.0109444260597229,28,72,32,3.367547469679266e-05,0.06776335835456848,3.367547469679266e-05,3.18201188929379e-05,3.0201216254176365e-05,2.9698268917854875e-05,native32_nonoverlap,pixel residual map; stride4 candidates,5
0842,41,0842.png,37.006794412343766,37.36834641850907,36.34836315581369,36.75275280718091,0.40438965136721805,0.00023541562040918507,0.00021668670524377376,1.872891516541131e-05,0.07614206128683716,0.06608081889486578,1.6460344340885058e-05,0.00019921430794056505,0.000183301221113652,0.01104506105184555,0.010609973222017288,88,24,32,3.629513958003372e-05,0.0188041552901268,3.629513958003372e-05,3.2029896974563595e-05,2.8183056403779323e-05,2.4498827770003118e-05,native32_nonoverlap,pixel residual map; stride4 candidates,6
0848,47,0848.png,35.366320191524956,35.672887134434454,34.137294241058875,34.51416668945118,0.37687244839230516,0.00038983045669738203,0.00035495159681886435,3.487885987851769e-05,0.1334863824300762,0.12316259924022134,2.1381298211053945e-05,0.00029064842965453863,0.0002708390529733151,0.013104351237416267,0.012689420953392982,84,28,32,5.147264164406806e-05,0.09369194507598877,5.147264164406806e-05,4.337206948548555e-05,3.661904095982512e-05,2.7553232939681038e-05,native32_nonoverlap,pixel residual map; stride4 candidates,7
0825,24,0825.png,36.01708629957406,36.21906718942124,34.79255375061081,35.15467247840411,0.3621187277933018,0.00034250014141434804,0.0003127916279481724,2.9708513466175646e-05,0.14083994493777463,0.12206167256382602,1.1358072697476018e-05,0.0002502023708075285,0.00023883242101874202,0.012162620201706886,0.011916794814169407,40,88,32,2.841248169715982e-05,0.10161980986595154,2.841248169715982e-05,2.4897987022995947e-05,2.588090946018282e-05,2.1303678295225836e-05,native32_nonoverlap,pixel residual map; stride4 candidates,8
0838,37,0838.png,36.752593030639396,36.90303611341197,35.74208807028927,36.09521065454587,0.35312258425660303,0.00027322513778926805,0.00025069585535675287,2.2529282432515174e-05,0.10198808653278287,0.08371655676517464,7.5168950388615485e-06,0.00021122275211382657,0.00020403106464073062,0.011402267962694168,0.0112186623737216,20,88,32,3.946373544749804e-05,0.06433526426553726,3.946373544749804e-05,2.8473499696701765e-05,2.3768658542798625e-05,1.5448880731128156e-05,native32_nonoverlap,pixel residual map; stride4 candidates,9
0803,2,0803.png,33.33686769902664,33.647632051121306,31.67128891509405,32.02068609078133,0.3493971756872831,0.0007292290538316593,0.0006668600253760815,6.236902845557779e-05,0.17619050774925119,0.17014299653809944,3.3919870475074276e-05,0.0004637812380678952,0.00043175442260690033,0.016340181231498718,0.015735529363155365,40,36,32,8.418515062658116e-05,0.05504750460386276,8.418515062658116e-05,7.356584537774325e-05,6.554841658928328e-05,5.6005163060035557e-05,native32_nonoverlap,pixel residual map; stride4 candidates,10
