image_id,validation_index,source_filename,delta_local_psnr,delta_p95,max_positive_d_patch,positive_d_patch_area,top10_residual_reduction,roi_mse_improvement,roi_x,roi_y,roi_size,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,patch_mse_base_mean,patch_mse_ours_mean,semantic_proxy_mean_rgb,semantic_proxy_texture,rank,content_diversity_distance
0822,21,0822.png,1.4481632735907866,0.0002832259197020903,0.00034089310793206096,1.0,0.005999419838190079,0.00037020945455878973,68,84,32,0.00037020945455878973,0.00035039551556110383,0.0003149245296501451,0.00027974043041467667,0.0008471732144244015,0.000618521124124527,0.2865745723247528,0.04080900549888611,1,
0823,22,0823.png,1.3715696152878145,0.00024203424982260913,0.00030280015198513865,1.0,0.0032806210219860077,0.0003351597487926483,84,40,40,0.0003311643667984754,0.0003351597487926483,0.00030869167918960255,0.00024080615548882633,0.0006832694634795189,0.0005580873694270849,0.5602100491523743,0.03216889873147011,2,0.30819590389728546
0839,38,0839.png,1.2943680888610842,0.00018930155783891678,0.00021338585065677762,1.0,0.0051327720284461975,0.00027417170349508524,60,56,32,0.00027417170349508524,0.00024882256984710694,0.0002274267737650209,0.0002237039152532816,0.0005851539317518473,0.00044334621634334326,0.24716077744960785,0.026952747255563736,3,
0810,9,0810.png,1.2395412492384317,0.00020373554434627295,0.00025116908363997936,1.0,0.004958517849445343,0.00027409160509705543,56,8,40,0.00027213507564738393,0.00027409160509705543,0.0002441059591041671,0.00022323823941405863,0.000720562064088881,0.0005253134877420962,0.4251464307308197,0.02727471850812435,4,
0838,37,0838.png,1.2250330813817207,0.00021776642824988812,0.00027451274218037724,1.0,0.005134429782629013,0.000329003669321537,52,32,32,0.000329003669321537,0.0003132377937436104,0.00028153927996754646,0.00025503113283775747,0.0007404445204883814,0.0005709916003979743,0.3524303138256073,0.02750164456665516,5,
0816,15,0816.png,1.2053849857450771,0.00017033619224093854,0.00021445585298351943,1.0,0.004069607704877853,0.00023300165310502052,8,56,40,0.00023006949049886316,0.00023300165310502052,0.0002154738176614046,0.00020695588318631053,0.0006173772271722555,0.0004674500960391015,0.5161490440368652,0.0287901870906353,6,
0811,10,0811.png,1.187927828370988,0.00019801355665549636,0.0002523097791709006,1.0,0.0040090568363666534,0.0002841836540028453,16,92,32,0.0002841836540028453,0.00024983221665024756,0.00023743890536328158,0.0002113602531608194,0.0006552132545039058,0.0005122597794979811,0.279951274394989,0.02706093341112137,7,
0831,30,0831.png,1.1733537370063871,0.00019666440493892878,0.00024536967976018786,1.0,0.004856910556554794,0.00027882393449544905,24,56,40,0.00026699702721089125,0.00027882393449544905,0.0002504457047002183,0.0002282986679347232,0.0007470007985830307,0.0005753955338150263,0.3152328431606293,0.04114822670817375,8,
0830,29,0830.png,1.1683237916821412,0.00018106347124557942,0.00022366584744304419,1.0,0.004412319511175156,0.000256967032328248,52,88,32,0.000256967032328248,0.00023456122726202012,0.00021738680596980784,0.00020804317318834364,0.0006543374620378017,0.0004997493233531713,0.5022552609443665,0.02561779133975506,9,
0840,39,0840.png,1.1617413053144716,0.00018000535783357918,0.00019465567311272025,1.0,0.004337526857852936,0.00021663976833224296,40,44,40,0.00021450335043482482,0.00021663976833224296,0.00019700179756101634,0.00018212107534054667,0.0006403474835678935,0.00048318534391000867,0.2745135724544525,0.044572338461875916,10,
