split,stage,global_mse,global_psnr,top25_local_psnr,patch_mse_p95,patch_mse_p99,lpips,ciede2000_global,ciede2000_top10,gini,ber100,ber70,ber50,ber40,ber30,alpha,method,target_psnr,validation_psnr_error
validation,validation_selected,0.0002055890508927405,36.87000018390211,36.07335106862804,0.00026782316002936567,0.0002826177770475624,0.0019151236757170408,3.401885600090027,4.959257836341858,0.10097333429654651,0.0,0.0,0.015875,0.043625,0.1110625,0.9278922379016876,MBRS crop-trained global,36.87,1.8390210954066788e-07
validation,validation_selected,0.0002055890072369948,36.87000110610353,36.0840972300941,0.0002689197978179436,0.00028321004830650056,0.0018360062211286276,3.34571759223938,4.893263158798217,0.1000188187519908,0.0,0.0,0.0158125,0.0438125,0.11074999999999999,0.9940251410007477,Ours = Hard Local-Tail + global OKLab,36.87,1.1061035323223223e-06
project_test,project_test_final,0.0002036680089076981,36.91077182320222,36.16977129892015,0.00025984850210079456,0.0002756783463264582,0.0020195919112302365,3.2894269680976866,4.809968199729919,0.0949820071802103,0.0,0.0,0.0014375000000000002,0.041749999999999995,0.11312500000000002,0.9278922379016876,MBRS crop-trained global,36.87,
project_test,project_test_final,0.00020385635434649885,36.906757467352,36.193774743954265,0.0002588815488707041,0.00027493194192356894,0.0018944421887863428,3.235304729938507,4.745388426780701,0.09212539112367966,0.0,0.0,0.0015,0.041687499999999995,0.113125,0.9940251410007477,Ours = Hard Local-Tail + global OKLab,36.87,
validation,validation_endpoint_alpha1,,36.222525735101684,,,,,,,,,,,,,1.0,MBRS crop-trained global,36.87,
validation,validation_endpoint_alpha1,,36.818150001240554,,,,,,,,,,,,,1.0,Ours = Hard Local-Tail + global OKLab,36.87,
