model,checkpoint,checkpoint_sha256,alpha,psnr,ssim,lpips,local_psnr,p95_mse,gini,ciede2000,clip_fraction,clip_flag_over_1pct,clip_flag_over_5pct
ablation_patch64_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/ablation_patch64_128_m64_crop/checkpoint_0010.pth,7c9f79bfb9c3a0d8bf3d0cca38a88f697450e8230ddfe9038b8832b65bda8530,5.0,10.926574211907818,0.11333411943167448,0.8134159612655639,10.14894009972888,0.10120437134057284,0.09880358880476284,31.875042533874513,0.19119100272655487,True,True
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,1.0,33.186028601100496,0.9267273509502411,0.005883515034802258,32.40016544801544,0.0006113345638732426,0.08794599974489765,5.193004198074341,0.0,False,False
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,1.5,29.708611464978105,0.8682149279117585,0.0130954558448866,28.945087089422913,0.0013498125158366747,0.0854952456425234,7.38960708618164,0.012437337078154087,True,False
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,2.0,27.257835291965755,0.8105536544322968,0.022912240866571666,26.511568500575187,0.002357277568662539,0.08356623151503467,9.33701536178589,0.018002523109316826,True,False
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,2.5,25.369743152677135,0.7562315320968628,0.034992661271244285,24.638600437796057,0.0036200691608246414,0.08198887902120916,11.068023014068604,0.024109292775392532,True,False
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,3.0,23.837433984355727,0.7057764953374863,0.04883933840319514,23.119058611053912,0.005126114969607442,0.08072450153007173,12.615217456817627,0.030583495274186134,True,False
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,4.0,21.44471642527545,0.6161804634332657,0.0797151754051447,20.743162414476732,0.00883322995621711,0.0790779158695595,15.27159330368042,0.044601235538721085,True,False
candidate_worst_patch16_weight25_seed17_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed17_128_m64_crop/checkpoint_0100.pth,a45ea6e6534d2d0f4f9d1451e651f0fa7ae9457a15c3913a07aeb210481b9538,5.0,19.615578011781423,0.5401103729009629,0.11328718628734351,18.925403573302045,0.013398289983160793,0.07815345242150686,17.48901569366455,0.05912841856479645,True,True
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,1.0,31.21626832658784,0.9024720394611359,0.012712671756744384,30.691118586543208,0.0008818116929614916,0.05980083650028468,6.2615820503234865,0.0,False,False
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,1.5,27.784205475252968,0.8321667563915253,0.027207231866195798,27.256734219590953,0.0019379531749291346,0.059801009444394405,8.785759258270264,0.02549886144697666,True,False
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,2.0,25.375235618140234,0.765371977686882,0.045698954965919254,24.840103391641243,0.0033776562369894235,0.060958876308521585,10.964628763198853,0.036202799528837204,True,False
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,2.5,23.52464078415951,0.7039793610572815,0.06676664832979441,22.980105584905736,0.005178831040393561,0.06230217307851213,12.86421911239624,0.046831462532281876,True,False
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,3.0,22.02612150494946,0.6481524354219437,0.08932908426970243,21.473754617701633,0.0073210341110825534,0.06356661276039689,14.542314052581787,0.057423096150159836,True,True
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,4.0,19.692699016963417,0.5519108855724335,0.13724560678005218,19.128127564289237,0.012558830394409597,0.06613983618681568,17.408484382629396,0.07846353948116302,True,True
candidate_worst_patch16_weight25_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight25_seed29_128_m64_crop/checkpoint_0100.pth,426570e0db56e53ed273689a205c6252dc7648aaf5099178ee0aa691c51ecade,5.0,17.91938245582962,0.47343976974487306,0.18599580392241477,17.34260670231254,0.018930482994765043,0.06822273864482614,19.816844024658202,0.09938517212867737,True,True
candidate_worst_patch16_weight50_seed29_128_m64_crop,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/candidate_worst_patch16_weight50_seed29_128_m64_crop/checkpoint_0100.pth,4f63b63021b540113475458c9476201c7a659d9e9cc0f02fd4eccdf5d07d3aaa,1.0,34.3864908189869,0.9430387163162232,0.004325215639546513,33.71793565431145,0.000447416353126755,0.07845700586277132,4.617281322479248,0.0,False,False
