method,global_psnr,delta_global_psnr,improved_fraction_global_psnr,global_ssim,delta_global_ssim,improved_fraction_global_ssim,global_ms_ssim,delta_global_ms_ssim,improved_fraction_global_ms_ssim,full_lpips,delta_full_lpips,improved_fraction_full_lpips,top25_local_psnr,delta_top25_local_psnr,improved_fraction_top25_local_psnr,patch_ssim_bottom10_mean,delta_patch_ssim_bottom10_mean,improved_fraction_patch_ssim_bottom10_mean,ssim_tail_gap,delta_ssim_tail_gap,improved_fraction_ssim_tail_gap,patch_lpips_top10_mean,delta_patch_lpips_top10_mean,improved_fraction_patch_lpips_top10_mean,patch_mse_top25,delta_patch_mse_top25,improved_fraction_patch_mse_top25,patch_mse_p95,delta_patch_mse_p95,improved_fraction_patch_mse_p95,gini,delta_gini,improved_fraction_gini,cv,delta_cv,improved_fraction_cv,top10_over_mean,delta_top10_over_mean,improved_fraction_top10_over_mean,top10_energy_share,delta_top10_energy_share,improved_fraction_top10_energy_share
Global continuation,36.26317237177012,0.0,0.0,0.9507593178749084,0.0,0.0,0.9830356705188751,0.0,0.0,0.0023495975974947214,0.0,0.0,35.52221250320571,0.0,0.0,0.9022731411457062,0.0,0.0,0.04523777604103088,0.0,0.0,0.0013612737925723195,0.0,0.0,0.0002918316240538843,0.0,0.0,0.000301653206042829,0.0,0.0,0.09500680981487682,0.0,0.0,0.17371794124870654,0.0,0.0,1.2957021820121541,0.0,0.0,0.16196277275151927,0.0,0.0
Hard Patch16 stride8 Top25,36.4453290156972,0.18215664392707964,0.94,0.9526311671733856,0.0018718492984771727,0.92,0.9837127852439881,0.0006771147251129151,0.92,0.0022050264221616087,-0.00014457117533311247,0.84,35.7474901729142,0.22527766970847948,1.0,0.905780256986618,0.003507115840911865,0.74,0.043738892078399656,-0.0014988839626312255,0.56,0.0012990431545767934,-6.223063799552619e-05,0.76,0.00027681583451339976,-1.5015789540484547e-05,1.0,0.0002856056954624364,-1.6047510580392555e-05,1.0,0.08860419002949586,-0.00640261978538092,0.04,0.16224435576844445,-0.011473585480262059,0.02,1.2770767480886747,-0.01862543392347974,0.08,0.15963459351108433,-0.0023281792404349676,0.08
Hard Patch16 stride8 Top10,36.442300092307796,0.17912772053767867,0.9,0.9525411605834961,0.0017818427085876465,0.86,0.983689626455307,0.0006539559364318847,0.86,0.0022151767974719406,-0.00013442080002278088,0.76,35.75437558818228,0.23216308497656968,0.96,0.9055037391185761,0.003230597972869873,0.66,0.0439659583568573,-0.001271817684173584,0.5,0.0013661440461874008,4.870253615081311e-06,0.62,0.0002759566696477123,-1.5874954406172038e-05,0.96,0.0002844551339512691,-1.7198072091559878e-05,0.96,0.08689696953419754,-0.008109840280679263,0.02,0.15901484164763477,-0.014703099601071768,0.02,1.2709213444500924,-0.024780837562062032,0.08,0.15886516805626155,-0.003097604695257754,0.08
Gradient-aware Top10 alpha2,36.33280114045733,0.06962876868720969,0.54,0.9520169615745544,0.001257643699645996,0.54,0.9834727442264557,0.0004370737075805664,0.54,0.002199208193924278,-0.00015038940357044338,0.82,35.624195133197325,0.101982629991615,0.66,0.9052158403396606,0.002942699193954468,0.48,0.04359618186950684,-0.001641594171524048,0.5,0.0012131960917031392,-0.00014807770086918025,0.88,0.00028442828537663447,-7.403338677249849e-06,0.66,0.00029332662983506453,-8.326576207764446e-06,0.74,0.0894097003549509,-0.005597109459925896,0.12,0.16346451738094392,-0.010253423867762634,0.1,1.27881716021333,-0.016885021798824434,0.18,0.15985214502666625,-0.0021106277248530542,0.18
