method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b
JPEG Global,0,0.000303949840599671,35.171980800364125,0.8794584274291992,0.9581946134567261,nan,nan,0.0031001619063317776,0.8664445281028748,0.8598647713661194,0.8140127956867218,0.7996083498001099,0.7919656038284302,0.06025642156600952,0.0025521237403154373,0.002902843290939927,0.00034466799115762115,0.00035061016387771815,34.62599047050691,0.05518898248469295,0.09728249662392702,1.1659938566417933,0.14574923208022417,4.9394989013671875,5.013532638549805,6.636313557624817,6.832253456115723,10.041881561279297,-0.8547372221946716,0.5908758640289307
JPEG Global,1,0.00025794203975237906,35.884778701747,0.9694168567657471,0.9892656207084656,nan,nan,0.0014636018313467503,0.965912938117981,0.9784294366836548,0.9264447093009949,0.9174351692199707,0.9167346954345703,0.06099426746368408,0.0009739763336256146,0.0014278368325904012,0.0002995515242218971,0.00031921219488140196,35.23528466227263,0.06688609896082082,0.1220217595039809,1.2474398080613995,0.15592997600767494,4.238167762756348,4.291440486907959,5.803148984909058,5.910131931304932,7.9085893630981445,-0.18034851551055908,0.005256563425064087
JPEG Global,2,0.00028308553737588227,35.48082317841863,0.9820936918258667,0.9939197301864624,nan,nan,0.0033441996201872826,0.9762459993362427,0.9792446494102478,0.9632408320903778,0.9508249759674072,0.9440871477127075,0.028419673442840576,0.000719491159543395,0.0007658067625015974,0.0003175073070451617,0.00032152142375707626,34.98246275496805,0.06525119769717162,0.1202681416336409,1.1489031198896442,0.14361288998620553,4.321907997131348,4.373777389526367,5.942829489707947,6.070728302001953,8.207996368408203,-0.19498580694198608,0.20942044258117676
JPEG Global,3,0.00023800042981747538,36.23422258627567,0.958459734916687,0.9853982329368591,nan,nan,0.002731395186856389,0.955024778842926,0.9585319757461548,0.926383763551712,0.9210621118545532,0.9204250574111938,0.03746986389160156,0.001647890079766512,0.001953558064997196,0.0002631904208101332,0.00026384874945506454,35.79729921536074,0.045161715829179466,0.0799031884003035,1.1098501530917344,0.1387312691364668,4.844799995422363,4.923981189727783,6.482244491577148,6.5879034996032715,8.516283988952637,-0.21781028807163239,0.1526927947998047
JPEG Global,4,0.00023023621179163456,36.378263690447355,0.9511882662773132,0.9831395149230957,nan,nan,0.0025582010857760906,0.9425091743469238,0.9590293169021606,0.868015468120575,0.8628332018852234,0.8619723320007324,0.09619611501693726,0.0017050645546987653,0.001976418774574995,0.0002580521395429969,0.0002592360760900192,35.88292535788506,0.05822855471916448,0.10501053734116451,1.157396033416042,0.14467450417700525,4.0963544845581055,4.158119201660156,5.834780216217041,5.945972442626953,7.464160919189453,-0.35808008909225464,0.3159758448600769
JPEG Global,5,0.00028159719659015536,35.50371673079238,0.9684799909591675,0.989140510559082,nan,nan,0.0038627898320555687,0.9607793092727661,0.9653826355934143,0.9427966773509979,0.9285192489624023,0.9167017936706543,0.03686338663101196,0.0014693746343255043,0.001520601217634976,0.00034308494650758803,0.0003488677684799768,34.64598337006816,0.09182106041390094,0.16110488814006607,1.2392453801119003,0.15490567251398754,4.45231819152832,4.498933792114258,6.16143536567688,6.273606300354004,8.821310997009277,-0.4822996258735657,0.2534427046775818
JPEG Global,6,0.00032627637847326696,34.86414366819101,0.9517008662223816,0.9832921028137207,nan,nan,0.0024265239480882883,0.9415988922119141,0.9379727244377136,0.9277878105640411,0.9221491813659668,0.919562816619873,0.015823543071746826,0.000975840026512742,0.0011863835388794541,0.00046538293827325106,0.0005095354426885024,33.32189542728716,0.1651112577983841,0.33256870339166683,1.7198239930380792,0.2149779991297599,3.969698429107666,4.009536266326904,5.749632120132446,5.863179683685303,8.0743408203125,0.13487212359905243,-0.0258572306483984
JPEG Global,7,0.0003230359870940447,34.90749093378574,0.9127933382987976,0.9699721336364746,nan,nan,0.002650225767865777,0.9011659026145935,0.9061840772628784,0.8589631915092468,0.8439343571662903,0.8291422128677368,0.062249720096588135,0.0015230143908411264,0.001669977675192058,0.00043319829273968935,0.00046378641127375886,33.633132636238024,0.1244181756054096,0.2826597132599007,1.6164608748269687,0.20205760935337108,4.125701904296875,4.203401565551758,6.07052743434906,6.206220626831055,8.323253631591797,-0.43963390588760376,0.4239308834075928
JPEG Global,8,0.00023183890152722597,36.34813689592856,0.971873939037323,0.9902400970458984,nan,nan,0.0018075278494507074,0.9653944373130798,0.9644655585289001,0.9538968205451965,0.9488662481307983,0.9462752342224121,0.015599310398101807,0.0011712007690221071,0.0014115243684500456,0.00026730375248007476,0.0002758933260338381,35.72994944461005,0.06168261016959339,0.10910154559694935,1.190549455296663,0.14881868191208286,5.174587726593018,5.256931304931641,6.770926237106323,6.873860836029053,8.733670234680176,-0.68771892786026,0.6479042172431946
JPEG Global,9,0.0003443429304752499,34.63008828860178,0.9723483324050903,0.9894800186157227,nan,nan,0.003432647092267871,0.9682488441467285,0.9684199690818787,0.9593510925769806,0.9576961994171143,0.9562181234359741,0.010723769664764404,0.0006930887466296554,0.0007224816945381463,0.0004511472652666271,0.00046308863238664344,33.456816708646755,0.11983474133096825,0.21186822438089506,1.3584137541936925,0.16980171927421156,4.192695617675781,4.250009536743164,6.229317307472229,6.3611884117126465,8.172281265258789,-0.5800900459289551,0.4335295557975769
