branch,psnr,ssim,lpips,worst_psnr,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst,top10_patch_mse,top25_patch_mse,patch_mse_p90,patch_mse_p95,patch_mse_p99,max_patch_mse,tail_global_ratio,ber30,ber35,ber40,ber50,ber70,ber100,final_message_loss,final_global_loss,final_local_loss,final_weighted_image_loss,final_total_loss,val_psnr_step_std,val_ber_step_std,soft_weight_mean,soft_weight_max,soft_effective_patches,delta_psnr,delta_ssim,delta_lpips,delta_worst_psnr,delta_local_ssim_top25,delta_local_ssim_worst,delta_local_lpips_top25,delta_local_lpips_worst,delta_top10_patch_mse,delta_top25_patch_mse,delta_patch_mse_p90,delta_patch_mse_p95,delta_patch_mse_p99,delta_max_patch_mse,delta_tail_global_ratio,delta_ber30,delta_ber35,delta_ber40,delta_ber50,delta_ber70,delta_ber100,delta_final_message_loss,delta_final_global_loss,delta_final_local_loss,delta_final_weighted_image_loss,delta_final_total_loss,delta_val_psnr_step_std,delta_val_ber_step_std,delta_soft_weight_mean,delta_soft_weight_max,delta_soft_effective_patches
Global continuation,36.22740573604786,0.943718433380127,0.0023416117765009403,35.31571296900007,0.924350917339325,0.9130494594573975,0.0011317391181364655,0.0015323256375268102,0.0012471041409298778,0.001176220364868641,0.001352571544703096,0.001613111677579581,0.0021126427641138435,0.0013087184634059668,1.2235627174377441,0.11312500000000003,0.08299999999999996,0.04162500000000002,0.0014374999999999805,0.0,0.0,0.013794470905941126,0.0011338982288725673,0.0,0.0011338982288725673,0.1390786056930665,0.26565683919809624,0.020924771923341474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard P16-T25-L50,36.38319005945928,0.9453718662261963,0.002190789207816124,35.518866848020416,0.9265433549880981,0.9156941771507263,0.0010665481677278876,0.0014593405649065971,0.0011869322042912245,0.0011224662885069847,0.001314375374931842,0.0015352071204688398,0.001979661446530372,0.0012449609348550439,1.209341287612915,0.1131875,0.08331250000000001,0.04168749999999999,0.0015625000000000222,0.0,0.0,0.01380606022732536,0.0010843469807878137,0.0014543393743224442,0.0012693431857042014,0.13932994726579637,0.2050446103913526,0.020769295769165502,0.0,0.0,0.0,0.15578432341142445,0.001653432846069336,-0.00015082256868481636,0.20315387902034843,0.0021924376487731934,0.0026447176933288574,-6.519095040857792e-05,-7.298507262021303e-05,-6.017193663865328e-05,-5.375407636165619e-05,-3.819616977125402e-05,-7.790455711074117e-05,-0.00013298131758347157,-6.375752855092287e-05,-0.014221429824829102,6.249999999996536e-05,0.00031250000000004885,6.249999999996536e-05,0.00012500000000004174,0.0,0.0,1.1589321384234547e-05,-4.955124808475359e-05,0.0014543393743224442,0.00013544495683163408,0.00025134157272987956,-0.060612228806743634,-0.00015547615417597221,0.0,0.0,0.0
Soft P16-T0.5-L50,36.30461183858658,0.9445195198059082,0.0022250418551266193,35.41967726990562,0.9253652691841125,0.9142253994941711,0.0010674247751012444,0.001456524129025638,0.0012155609438195825,0.0011483975686132908,0.0013238497194834054,0.0015728431055322288,0.0020386394020169975,0.0012741854880005121,1.2156856060028076,0.11299999999999999,0.08299999999999996,0.04125000000000001,0.0014999999999999458,0.0,0.0,0.01378588619059883,0.0011083269072696567,0.0013792815967462956,0.0012438042578287423,0.13910266483668238,0.22519116724689964,0.020810376606114175,0.015624999981373549,0.0715003827214241,46.04921691894531,0.07720610253872451,0.00080108642578125,-0.00011656992137432098,0.10396430090555242,0.0010143518447875977,0.0011759400367736816,-6.43143430352211e-05,-7.580150850117207e-05,-3.1543197110295296e-05,-2.7822796255350113e-05,-2.8721825219690756e-05,-4.0268572047352184e-05,-7.4003362096846e-05,-3.4532975405454636e-05,-0.007877111434936523,-0.00012500000000004174,0.0,-0.0003750000000000142,6.249999999996536e-05,0.0,0.0,-8.584715342294796e-06,-2.5571321602910592e-05,0.0013792815967462956,0.00010990602895617502,2.40591436158899e-05,-0.0404656719511966,-0.00011439531722729976,0.015624999981373549,0.0715003827214241,46.04921691894531
Hard patch16 stride8 top25 global0.5 local0.5,36.410579423570134,0.945725679397583,0.0021963808685541153,35.54896415494068,0.9270134568214417,0.9162927269935608,0.0010704532032832503,0.001465418841689825,0.0011785817332565784,0.001114714308641851,0.0013091508648358286,0.0015232932812068605,0.0019645477388985453,0.0012361465487629175,1.2083611488342285,0.1131875,0.083125,0.04156249999999995,0.0015625000000000222,0.0,0.0,0.013805093657883844,0.0010785181785468011,0.001456031035631895,0.0012672746111638843,0.13931820826372132,0.1783775929982373,0.020789399948514586,0.0,0.0,0.0,0.18317368752227736,0.0020072460174560547,-0.00014523090794682503,0.23325118594060967,0.0026625394821166992,0.00324326753616333,-6.128591485321522e-05,-6.690679583698511e-05,-6.852240767329931e-05,-6.150605622678995e-05,-4.342067986726748e-05,-8.981839637272043e-05,-0.00014809502521529816,-7.257191464304924e-05,-0.015201568603515625,6.249999999996536e-05,0.00012500000000004174,-6.250000000007638e-05,0.00012500000000004174,0.0,0.0,1.0622751942718223e-05,-5.538005032576618e-05,0.001456031035631895,0.00013337638229131703,0.00023960257065483437,-0.08727924619985894,-0.00013537197482688806,0.0,0.0,0.0
Multiscale patch16 top25 weight0.7 plus patch32 top25 weight0.3 global0.5 local0.5,36.35592046176123,0.9450947046279907,0.002188725396990776,35.49102640729317,0.9261801242828369,0.9153068661689758,0.0010623419657349586,0.0014576901448890567,0.0011946797603741288,0.0011296849697828293,0.0013198509579524398,0.0015437419759109616,0.0019843777921050784,0.0012533417902886868,1.209652066230774,0.11306249999999995,0.083125,0.04168749999999999,0.0014374999999999805,0.0,0.0,0.013798715508146415,0.0010962443787138909,0.001448191434610635,0.0012722179025877267,0.1392593733384274,0.24600196535468605,0.020745621279346683,0.0,0.0,0.0,0.12851472571337297,0.0013762712478637695,-0.00015288637951016426,0.1753134382931023,0.0018292069435119629,0.002257406711578369,-6.93971524015069e-05,-7.463549263775349e-05,-5.242438055574894e-05,-4.6535395085811615e-05,-3.272058675065628e-05,-6.936970166861937e-05,-0.00012826497200876504,-5.5376673117280006e-05,-0.013910651206970215,-6.250000000007638e-05,0.00012500000000004174,6.249999999996536e-05,0.0,0.0,0.0,4.244602205289577e-06,-3.7653850158676436e-05,0.001448191434610635,0.00013831967371515943,0.00018076764536090195,-0.019654873843410192,-0.00017915064399479097,0.0,0.0,0.0
Excess patch16 stride16 threshold1 scale3 global0.5 local0.5,35.86420264968102,0.9392258524894714,0.0023415384348481894,35.030266728219075,0.9183993339538574,0.9063563346862793,0.0010803134646266699,0.0014576894463971257,0.0013250577030703425,0.0012561263283714652,0.0014388976036570967,0.0016925201984122388,0.002151986693497747,0.001387472148053348,1.2025710344314575,0.11293750000000002,0.08306250000000004,0.041437500000000016,0.0014374999999999805,0.0,0.0,0.013777404231732363,0.001200677106389776,0.00016405729693360626,0.0006823672028258442,0.13845640950486995,0.2193358286452841,0.020805834373302558,0.0,0.0,0.0,-0.3632030863668376,-0.004492580890655518,-7.334165275096893e-08,-0.2854462407809919,-0.005951583385467529,-0.006693124771118164,-5.1425653509795666e-05,-7.463619112968445e-05,7.795356214046478e-05,7.99059635028243e-05,8.63260589540006e-05,7.940852083265781e-05,3.934392938390345e-05,7.87536846473813e-05,-0.02099168300628662,-0.0001875000000000071,6.250000000007638e-05,-0.0001875000000000071,0.0,0.0,0.0,-1.706667420876308e-05,6.677887751720861e-05,0.00016405729693360626,-0.00045153102604672307,-0.0006221961881965332,-0.04632101055281215,-0.0001189375500389167,0.0,0.0,0.0
