method,global_ciede2000,ciede2000_top10,ciede2000_p95,global_chroma,chroma_top10,chroma_p95,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,ber50,ber40,ber30
Hard Top10 incumbent,3.598625340461731,5.23032925605774,5.124217739105225,0.010952965766191482,0.015500122141093016,0.01506003960967064,0.00022852764726849273,36.41061251481177,0.9549817669391633,0.9848390316963196,0.0021406502730678765,35.65298752384227,0.00029455477531882936,0.0945688821649359,0.1730518978299311,1.3032616617384094,0.16290770771730118,0.015875,0.04356249999999999,0.111
Hard Top10 + global OKLab,3.465416603088379,5.051264009475708,4.946861574649811,0.010564239826053382,0.015017296541482211,0.014576514507643879,0.00021626202127663418,36.650197422261435,0.9573958849906922,0.9856502783298492,0.0019409441447351128,35.87987106106152,0.0002808161173015833,0.09730342309060305,0.17826253606123366,1.3130970558995068,0.16413713198743834,0.015875,0.04374999999999999,0.1108125
Hard Top10 + local chroma-tail,3.533374786376953,5.132034797668457,5.027569327354431,0.010751649402081967,0.015221144761890173,0.014783771778456866,0.00022203010594239457,36.53588133845851,0.9561251091957093,0.9852540493011475,0.0020233522227499634,35.77687482251852,0.00028689350161585024,0.0952576275164224,0.17437288058770922,1.3063868160649628,0.16329835200812035,0.015812499999999997,0.04362499999999999,0.1109375
