method,train_epochs,train_images,batch_size,train_steps,lr,train_first_loss,train_last_loss,train_elapsed_s,global_psnr,global_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,ciede2000_global,ciede2000_p95,ciede2000_max,raw_bit_accuracy_100,raw_ber_100,detection_success_100,exact_decode_success_100,raw_bit_accuracy_70,raw_ber_70,detection_success_70,exact_decode_success_70,raw_bit_accuracy_50,raw_ber_50,detection_success_50,exact_decode_success_50,raw_bit_accuracy_40,raw_ber_40,detection_success_40,exact_decode_success_40,raw_bit_accuracy_30,raw_ber_30,detection_success_30,exact_decode_success_30
Q-control,2,64,4,32,1e-06,3.8621654510498047,1.4418116807937622,2.9890298172831535,42.6055748532607,0.9903624284267426,0.0010386645147809758,39.43978735803696,0.00014119759713139503,0.3969967352868701,0.45288958013057706,1.4526628718376147,5.575634078979492,0.998,0.002,1.0,1.0,0.99524,0.0047599999999999995,0.992,0.992,0.9557599999999999,0.04424000000000001,0.668,0.664,0.893,0.107,0.132,0.132,0.81576,0.18424000000000001,0.016,0.0
Q-hard-local-tail,2,64,4,32,1e-06,3.8626902103424072,1.4418888092041016,2.384331814944744,42.60483171069103,0.9903630542755127,0.0010390620731050148,39.4393056178655,0.00014121509519100073,0.3969725798523517,0.4537478795647621,1.4529815570712077,5.575156755447388,0.9976,0.0024000000000000002,1.0,1.0,0.99512,0.00488,0.992,0.992,0.95556,0.04444000000000001,0.664,0.66,0.8926,0.10740000000000001,0.148,0.14,0.8156,0.1844,0.016,0.0
Q-hard-local-tail-oklab,2,64,4,32,1e-06,3.8629114627838135,1.4419220685958862,2.3593148663640022,42.60555064636277,0.9903637146949769,0.0010388922842685133,39.43988428033657,0.00014119193601800362,0.3969870588236699,0.4532840782403946,1.4527096879482255,5.575001683235168,0.9978,0.0022,1.0,1.0,0.99524,0.0047599999999999995,0.992,0.992,0.9556800000000001,0.044320000000000005,0.664,0.66,0.8925599999999999,0.10744,0.132,0.132,0.81628,0.18372,0.02,0.0
