method,selector,lpips_top10,ssim_degradation_top10,mse_top10,selected_gradient,selected_hf,selected_variance,jaccard_lpips_top10,jaccard_ssim_top10
Global continuation,mse,0.0023727235023397954,0.043988272361457345,0.0014238046726677567,0.09316776264458895,0.040310199232771994,0.022009976338595152,0.10451550466036222,0.09872662275851499
Hard stride8 Top25,mse,0.0022878289490472527,0.04055207394063473,0.0013380758743733168,0.09457167778164148,0.041075165644288064,0.022718398477882148,0.10505225222486468,0.08610424982827253
Hard stride8 Top10,mse,0.0022378745034802704,0.040604936089366675,0.0013293652317952365,0.09438092727214098,0.0409586077183485,0.022650676807388664,0.10408547656793767,0.07936834402486813
Gradient-aware Top10 alpha2,mse,0.0022539758286438884,0.03965717712417245,0.0013713982154149563,0.09630100738257169,0.041681485828012226,0.023155430471524595,0.10179674481392677,0.07884965096909452
Gradient-aware Top10 alpha2,gradient_alpha2,0.002583292635390535,0.07130469206720591,0.0010876621841453015,0.039427952080732215,0.011065702483174391,0.007356509261553583,0.12718453629280949,0.4549446142142767
