model,images,global_mse_mean,global_mse_std,top10_patch_mse_mean,top10_patch_mse_std,top25_patch_mse_mean,top25_patch_mse_std,max_patch_mse_mean,max_patch_mse_std,patch_mse_std_mean,patch_mse_std_std,patch_mse_cv_mean,patch_mse_cv_std,worst_global_ratio_mean,worst_global_ratio_std,max_global_ratio_mean,max_global_ratio_std,local_ssim_top25_mean,local_ssim_top25_std,local_ssim_worst_mean,local_ssim_worst_std,local_lpips_top25_mean,local_lpips_top25_std,local_lpips_worst_mean,local_lpips_worst_std,patch_mse_p50,patch_mse_p90,patch_mse_p95,patch_mse_p99
No-crop Global,50,0.0007343869976466522,0.000273100452597827,0.00110982037615031,0.00046732215475441056,0.0010143210180103778,0.0004189495399041567,0.0011967510811518877,0.0005243650974144968,0.00021172185937757605,0.00013085924236837354,0.2798390893638134,0.09443598310002173,1.3737154746055602,0.12991494620390132,1.6248854351043702,0.3365415034411146,0.9456907999515534,0.02738586556626371,0.9332462990283966,0.03386458914458603,0.0017703892255667597,0.0014412999022463194,0.0028391647012904284,0.003043611137879276,0.0006421089346986264,0.0011046156869269907,0.0013758309185504891,0.0021925415098667128
Crop-trained Global,50,0.0014072009245865047,0.00030098349389351794,0.0017550134821794927,0.0004685858806547486,0.0016702851071022451,0.00041352807147349084,0.0018317236891016364,0.0005643242466120004,0.00020775986471562646,0.00011619532825998085,0.142398913949728,0.05620904308485871,1.1814564323425294,0.07357397566734925,1.2872359466552734,0.17748831656917716,0.8949193489551545,0.05361006717890171,0.8785346245765686,0.058163057225615995,0.0026165104773826896,0.0017508593244909242,0.003412204365013167,0.002139526467586634,0.0013169810408726335,0.0018746391171589494,0.0022001136909238993,0.002705215923488139
Patch16 top25 weight50,50,0.0011680953006725759,0.00030827705543348563,0.0014716780628077687,0.000567739563306883,0.0014095915737561881,0.0005163244586367826,0.001528871194459498,0.0006308378772791595,0.0001810268197732512,0.0001605316438026755,0.14213956706225872,0.06710450260942391,1.1896196961402894,0.09423157105744344,1.2812368488311767,0.18035951543588521,0.9075621461868286,0.04544272133189696,0.8938348639011383,0.05056322258711647,0.0019643601891584693,0.0015840977941740254,0.002736558149335906,0.0030140118003407993,0.0010708215995691717,0.001519101730082184,0.001861222967272624,0.0027817268250510097
