base_condition,ours_condition,same_condition,base_phase,ours_phase,promoted_pair,base_w_msg,ours_w_msg,base_lambda_img,ours_lambda_img,ber30_base,ber30_ours,abs_delta_ber30,psnr_base,psnr_ours,local_psnr_base,local_psnr_ours,delta_local_psnr,p95_base,p95_ours,delta_p95,gini_base,gini_ours,rank,selected
promoted_wmsg20,promoted_reference,False,promoted,promoted,True,20.0,10.0,1.0,1.0,0.1108125,0.111,0.0001875000000000071,35.189393867590375,36.410612332292104,34.412367331389305,35.65298752384227,1.2406201924529654,0.00038745406971429474,0.00029455477531882936,-9.289929439546538e-05,0.09524348788116868,0.0945688821649359,20,False
promoted_reference,promoted_wmsg20,False,promoted,promoted,True,10.0,20.0,1.0,1.0,0.111,0.111125,0.0001250000000000001,36.222525735101684,35.6377520441701,35.42592541021401,34.90593517217285,-0.5199902380411601,0.0003108426282415167,0.00034487296783481725,3.403033959330058e-05,0.10093777436212466,0.0891638264225587,21,False
promoted_wmsg40,promoted_wmsg80,False,promoted,promoted,True,40.0,80.0,1.0,1.0,0.111375,0.110625,0.0007500000000000007,33.78577818110702,32.353024096039,33.04112845272648,31.61033297843236,-1.430795474294122,0.0005226872711500619,0.0007261043498874641,0.00020341707873740224,0.08671867329051054,0.08706268247284649,22,False
promoted_wmsg20,promoted_wmsg40,False,promoted,promoted,True,20.0,40.0,1.0,1.0,0.1108125,0.111875,0.0010625000000000079,35.189393867590375,33.426017653208575,34.412367331389305,32.80950543145873,-1.6028618999305735,0.00038745406971429474,0.0005456236851750873,0.00015816961546079257,0.09524348788116868,0.07070535397973192,23,False
promoted_reference,promoted_wmsg40,False,promoted,promoted,True,10.0,40.0,1.0,1.0,0.111,0.111875,0.0008750000000000008,36.222525735101684,33.426017653208575,35.42592541021401,32.80950543145873,-2.6164199787552818,0.0003108426282415167,0.0005456236851750873,0.00023478105693357064,0.10093777436212466,0.07070535397973192,24,False
promoted_wmsg20,promoted_wmsg80,False,promoted,promoted,True,20.0,80.0,1.0,1.0,0.1108125,0.110625,0.00018749999999999323,35.189393867590375,32.353024096039,34.412367331389305,31.61033297843236,-2.8020343529569445,0.00038745406971429474,0.0007261043498874641,0.0003386502801731694,0.09524348788116868,0.08706268247284649,25,False
promoted_reference,promoted_wmsg80,False,promoted,promoted,True,10.0,80.0,1.0,1.0,0.111,0.110625,0.00037500000000000033,36.222525735101684,32.353024096039,35.42592541021401,31.61033297843236,-3.8155924317816527,0.0003108426282415167,0.0007261043498874641,0.0004152617216459475,0.10093777436212466,0.08706268247284649,26,False
wmsg80,promoted_reference,False,,promoted,False,80.0,10.0,1.0,1.0,0.1143125,0.111,0.003312499999999996,32.59147722711611,36.410612332292104,31.559143753746426,35.65298752384227,4.0938437700958445,0.0007783152016054373,0.00029455477531882936,-0.00048376042628660797,0.12560166897275957,0.0945688821649359,27,False
wmsg80,promoted_wmsg20,False,,promoted,False,80.0,20.0,1.0,1.0,0.1143125,0.111125,0.003187499999999996,32.59147722711611,35.6377520441701,31.559143753746426,34.90593517217285,3.3467914184264274,0.0007783152016054373,0.00034487296783481725,-0.0004334422337706201,0.12560166897275957,0.0891638264225587,28,False
wmsg80,reference,False,,,False,80.0,10.0,1.0,1.0,0.1143125,0.1153125,0.0010000000000000009,32.59147722711611,35.38101385790666,31.559143753746426,34.612166679219534,3.0530229254731083,0.0007783152016054373,0.00036961714286007916,-0.00040869805874535817,0.12560166897275957,0.09203502663692882,29,False
promoted_wmsg80,wmsg20_img05,False,promoted,,False,80.0,20.0,1.0,0.5,0.1099375,0.11475,0.004812500000000011,31.486392332196957,34.57588208746528,30.78058822402878,33.82959060585981,3.049002381831034,0.0008707015530671924,0.0004391070944257081,-0.0004315944586414843,0.08138438120681774,0.08827097640392045,30,False
wmsg40_img025,promoted_reference,False,,promoted,False,40.0,10.0,0.25,1.0,0.1151875,0.111,0.004187499999999997,33.541478059055905,36.410612332292104,32.798180944968735,35.65298752384227,2.8548065788735357,0.0005560941119620111,0.00029455477531882936,-0.00026153933664318173,0.08805669260476585,0.0945688821649359,31,False
promoted_wmsg80,wmsg40,False,promoted,,False,80.0,40.0,1.0,1.0,0.1099375,0.114375,0.004437500000000011,31.486392332196957,34.33324343945972,30.78058822402878,33.60665170743549,2.8260634834067098,0.0008707015530671924,0.00046085295602097174,-0.00040984859704622066,0.08138438120681774,0.08561970507495395,32,False
wmsg80,wmsg20,False,,,False,80.0,20.0,1.0,1.0,0.1143125,0.115375,0.0010625000000000079,32.59147722711611,34.97057417507345,31.559143753746426,34.22027291524583,2.661129161499403,0.0007783152016054373,0.0004026055391295813,-0.000375709662475856,0.12560166897275957,0.08894195163096225,33,False
wmsg80,img05,False,,,False,80.0,10.0,1.0,0.5,0.1143125,0.11575,0.0014375000000000082,32.59147722711611,34.96787302470802,31.559143753746426,34.20468947436314,2.645545720616717,0.0007783152016054373,0.00040437078307149933,-0.000373944418533938,0.12560166897275957,0.09105890734985335,34,False
wmsg40_img05,promoted_reference,False,,promoted,False,40.0,10.0,0.5,1.0,0.1150625,0.111,0.004062499999999997,33.798163565194784,36.410612332292104,33.04940138032077,35.65298752384227,2.603586143521504,0.0005250476794026326,0.00029455477531882936,-0.00023049290408380327,0.08909127508113628,0.0945688821649359,35,False
wmsg80,img025,False,,,False,80.0,10.0,1.0,0.25,0.1143125,0.11525,0.0009375000000000078,32.59147722711611,34.72839100005883,31.559143753746426,33.967204826937284,2.408061073190858,0.0007783152016054373,0.0004264892234641593,-0.00035182597814127804,0.12560166897275957,0.0906037966119158,36,False
wmsg80,wmsg20_img05,False,,,False,80.0,20.0,1.0,0.5,0.1143125,0.11475,0.00043750000000000733,32.59147722711611,34.57588208746528,31.559143753746426,33.82959060585981,2.2704468521133876,0.0007783152016054373,0.0004391070944257081,-0.00033920810717972925,0.12560166897275957,0.08827097640392045,37,False
wmsg40,promoted_reference,False,,promoted,False,40.0,10.0,1.0,1.0,0.1146875,0.111,0.0036874999999999963,34.238306554370105,36.410612332292104,33.483743425758995,35.65298752384227,2.1692440980832757,0.0004757613530091476,0.00029455477531882936,-0.00018120657769031822,0.08971934697013262,0.0945688821649359,38,False
wmsg20_img025,promoted_reference,False,,promoted,False,20.0,10.0,0.25,1.0,0.115,0.111,0.0040000000000000036,34.28189094354105,36.410612332292104,33.52642413738608,35.65298752384227,2.1265633864561906,0.00047112922184169295,0.00029455477531882936,-0.00017657444652286359,0.08948576694184554,0.0945688821649359,39,False
wmsg40_img025,promoted_wmsg20,False,,promoted,False,40.0,20.0,0.25,1.0,0.1151875,0.111125,0.004062499999999997,33.541478059055905,35.6377520441701,32.798180944968735,34.90593517217285,2.1077542272041185,0.0005560941119620111,0.00034487296783481725,-0.00021122114412719384,0.08805669260476585,0.0891638264225587,40,False
wmsg80,wmsg40,False,,,False,80.0,40.0,1.0,1.0,0.1143125,0.114375,6.2500000000007e-05,32.59147722711611,34.33324343945972,31.559143753746426,33.60665170743549,2.0475079536890632,0.0007783152016054373,0.00046085295602097174,-0.0003174622455844656,0.12560166897275957,0.08561970507495395,41,False
