branch,psnr,ssim,lpips,worst_psnr,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst,top10_patch_mse,top25_patch_mse,patch_mse_p90,patch_mse_p95,patch_mse_p99,max_patch_mse,tail_global_ratio,ber30,ber35,ber40,ber50,ber70,ber100,final_message_loss,final_global_loss,final_local_loss,final_weighted_image_loss,final_total_loss,val_psnr_step_std,val_ber_step_std,soft_weight_mean,soft_weight_max,soft_effective_patches,delta_psnr,delta_ssim,delta_lpips,delta_worst_psnr,delta_local_ssim_top25,delta_local_ssim_worst,delta_local_lpips_top25,delta_local_lpips_worst,delta_top10_patch_mse,delta_top25_patch_mse,delta_patch_mse_p90,delta_patch_mse_p95,delta_patch_mse_p99,delta_max_patch_mse,delta_tail_global_ratio,delta_ber30,delta_ber35,delta_ber40,delta_ber50,delta_ber70,delta_ber100,delta_final_message_loss,delta_final_global_loss,delta_final_local_loss,delta_final_weighted_image_loss,delta_final_total_loss,delta_val_psnr_step_std,delta_val_ber_step_std,delta_soft_weight_mean,delta_soft_weight_max,delta_soft_effective_patches
Global continuation,36.22740573604786,0.943718433380127,0.0023416117765009403,35.31571296900007,0.924350917339325,0.9130494594573975,0.0011317391181364655,0.0015323256375268102,0.0012471041409298778,0.001176220364868641,0.001352571544703096,0.001613111677579581,0.0021126427641138435,0.0013087184634059668,1.2235627174377441,0.11312500000000003,0.08299999999999996,0.04162500000000002,0.0014374999999999805,0.0,0.0,0.013794470905941126,0.0011338982288725673,0.0,0.0011338982288725673,0.1390786056930665,0.26565683919809624,0.020924771923341474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard P16-T25-L50,36.38319005945928,0.9453718662261963,0.002190789207816124,35.518866848020416,0.9265433549880981,0.9156941771507263,0.0010665481677278876,0.0014593405649065971,0.0011869322042912245,0.0011224662885069847,0.001314375374931842,0.0015352071204688398,0.001979661446530372,0.0012449609348550439,1.209341287612915,0.1131875,0.08331250000000001,0.04168749999999999,0.0015625000000000222,0.0,0.0,0.01380606022732536,0.0010843469807878137,0.0014543393743224442,0.0012693431857042014,0.13932994726579637,0.2050446103913526,0.020769295769165502,0.0,0.0,0.0,0.15578432341142445,0.001653432846069336,-0.00015082256868481636,0.20315387902034843,0.0021924376487731934,0.0026447176933288574,-6.519095040857792e-05,-7.298507262021303e-05,-6.017193663865328e-05,-5.375407636165619e-05,-3.819616977125402e-05,-7.790455711074117e-05,-0.00013298131758347157,-6.375752855092287e-05,-0.014221429824829102,6.249999999996536e-05,0.00031250000000004885,6.249999999996536e-05,0.00012500000000004174,0.0,0.0,1.1589321384234547e-05,-4.955124808475359e-05,0.0014543393743224442,0.00013544495683163408,0.00025134157272987956,-0.060612228806743634,-0.00015547615417597221,0.0,0.0,0.0
Soft P16-T0.25-L50,36.31370405528042,0.9444533586502075,0.002202714094892144,35.45136444153948,0.9252358078956604,0.9140887260437012,0.0010775523260235786,0.001475983764976263,0.0012049013748764992,0.0011400490766391158,0.0013264911598525942,0.0015509264892898493,0.00201376250712201,0.001262611011043191,1.2093548774719238,0.113375,0.08325000000000005,0.04149999999999998,0.0014999999999999458,0.0,0.0,0.013790435438231725,0.0010970277595333754,0.0015577259729616345,0.001327376866247505,0.1392317347903736,0.19254644545509894,0.02072547463374143,0.015624999981373549,0.16482823207974434,28.00322319030762,0.08629831923256148,0.0007349252700805664,-0.00013889768160879612,0.1356514725394149,0.0008848905563354492,0.001039266586303711,-5.4186792112886906e-05,-5.634187255054712e-05,-4.220276605337858e-05,-3.617128822952509e-05,-2.6080384850501884e-05,-6.218518828973165e-05,-9.88802569918336e-05,-4.61074523627758e-05,-0.014207839965820312,0.00024999999999997247,0.0002500000000000835,-0.00012500000000004174,6.249999999996536e-05,0.0,0.0,-4.035467709400178e-06,-3.6870469339191905e-05,0.0015577259729616345,0.00019347863737493773,0.00015312909730710866,-0.0731103937429973,-0.00019929728960004292,0.015624999981373549,0.16482823207974434,28.00322319030762
Soft P16-T0.5-L50,36.30461183858658,0.9445195198059082,0.0022250418551266193,35.41967726990562,0.9253652691841125,0.9142253994941711,0.0010674247751012444,0.001456524129025638,0.0012155609438195825,0.0011483975686132908,0.0013238497194834054,0.0015728431055322288,0.0020386394020169975,0.0012741854880005121,1.2156856060028076,0.11299999999999999,0.08299999999999996,0.04125000000000001,0.0014999999999999458,0.0,0.0,0.01378588619059883,0.0011083269072696567,0.0013792815967462956,0.0012438042578287423,0.13910266483668238,0.22519116724689964,0.020810376606114175,0.015624999981373549,0.0715003827214241,46.04921691894531,0.07720610253872451,0.00080108642578125,-0.00011656992137432098,0.10396430090555242,0.0010143518447875977,0.0011759400367736816,-6.43143430352211e-05,-7.580150850117207e-05,-3.1543197110295296e-05,-2.7822796255350113e-05,-2.8721825219690756e-05,-4.0268572047352184e-05,-7.4003362096846e-05,-3.4532975405454636e-05,-0.007877111434936523,-0.00012500000000004174,0.0,-0.0003750000000000142,6.249999999996536e-05,0.0,0.0,-8.584715342294796e-06,-2.5571321602910592e-05,0.0013792815967462956,0.00010990602895617502,2.40591436158899e-05,-0.0404656719511966,-0.00011439531722729976,0.015624999981373549,0.0715003827214241,46.04921691894531
Soft P16-T1.0-L50,36.25035953467893,0.9439654350280762,0.002253167098388076,35.3525044027458,0.924712061882019,0.9134448170661926,0.001058280235156417,0.0014415502082556486,0.0012355416547507048,0.0011662980541586876,0.0013447158155031503,0.0016098432068247345,0.002086495589464903,0.0012955120764672756,1.2191940546035767,0.1131875,0.08299999999999996,0.041437500000000016,0.0014374999999999805,0.0,0.0,0.013791227815081583,0.0011191396182402967,0.0012457104155328125,0.001182425022125244,0.13909470190759748,0.27353229284545505,0.02079827093367161,0.015624999981373549,0.034890907742083074,58.185405578613285,0.02295379863107172,0.00024700164794921875,-8.84446781128645e-05,0.03679143374573357,0.0003611445426940918,0.000395357608795166,-7.345888298004866e-05,-9.077542927116156e-05,-1.1562486179172993e-05,-9.922310709953308e-06,-7.85572919994584e-06,-3.26847075484641e-06,-2.614717464894051e-05,-1.320638693869114e-05,-0.0043686628341674805,6.249999999996536e-05,0.0,-0.0001875000000000071,0.0,0.0,0.0,-3.243090859542108e-06,-1.4758610632270575e-05,0.0012457104155328125,4.852679325267678e-05,1.60962145309973e-05,0.00787545364735881,-0.00012650098966986503,0.015624999981373549,0.034890907742083074,58.185405578613285
