run,phase,method,condition,screen_condition,w_msg,lambda_img,config,output_dir,epochs,source_checkpoint,source_checkpoint_sha256,checkpoint,checkpoint_sha256,checkpoint_epoch,samples,psnr,ssim,ms_ssim,lpips,local_psnr,p95,gini,cv,top10_mean,top10_energy_share,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,status,evaluation_epoch
promoted_ours-base_wmsg40,promoted,Ours-base,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/checkpoint_0015.pth,92b48bedd1577ced4bcf26bea83b26653dd020c6325870559da826a1e85b4645,15,50,32.559830082526815,0.9233109271526336,0.9692582619190216,0.007085248874500394,31.561347398891325,0.0007689933262008708,0.11797187397969716,0.21692846953868866,0.0007850155560299754,0.17413543343544005,5.489037690162658,12.739453468322754,0.0,0.0,0.0153125,0.043375,0.1130625,pass,15
promoted_ours-base_wmsg40,promoted,Ours-base,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/checkpoint_0020.pth,f3b3391d231801594d66cbf8001de86b31d7a66c56ab102f8c66fa4efbe7ece1,20,50,33.78577818110702,0.9336175537109375,0.9737020230293274,0.004099124621134252,33.04112845272648,0.0005226872711500619,0.08671867329051054,0.15654435396194458,0.000530930669629015,0.15830072671175002,4.901401424407959,11.703157653808594,0.0,0.0,0.016,0.0438125,0.111375,pass,20
promoted_ours_wmsg40,promoted,Ours,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/checkpoint_0005.pth,4223ac78ff7e506af68bc4573e89328d2249707cac237f41ff53d5e99658ebaa,5,50,34.33324343945972,0.9397855961322784,0.9758057260513305,0.0034051572578027846,33.60665170743549,0.00046085295602097174,0.08561970507495395,0.15536560148000716,0.0004684015252860263,0.158097682595253,4.745738458633423,11.545115909576417,0.0,0.0,0.016,0.0445,0.114375,pass,5
promoted_ours_wmsg40,promoted,Ours,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/checkpoint_0010.pth,442480d8fcd4314969589576fa3e63dcaa00efb8869ea11a5f919402f70f4b66,10,50,34.367677809332534,0.9433628988265991,0.9774965274333954,0.004564913751091808,33.64488290566672,0.0004569869650003966,0.08472040081389838,0.1533943023532629,0.0004641965532209724,0.1581437873840332,4.6873155689239505,11.289568233489991,0.0,0.0,0.0154375,0.0423125,0.109875,pass,10
promoted_ours_wmsg40,promoted,Ours,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/checkpoint_0015.pth,38542f1c1f527f94554885438d742cbab8447b527f6ec7cdb64cf4170c6984fa,15,50,32.98857105538919,0.9218925142288208,0.9691352081298829,0.004113277555443346,32.3068149886934,0.0006154393313045148,0.07853769078197421,0.14249217890203,0.0006264981208369136,0.15537233144044876,5.2999125099182125,12.606653461456299,0.0,0.0,0.0155,0.0431875,0.113375,pass,15
promoted_ours_wmsg40,promoted,Ours,promoted_wmsg40,wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/checkpoint_0020.pth,4279270cb7e1e21c7416333ebe5f9a30024839f5374a93d546600a965d489443,20,50,33.426017653208575,0.9339370667934418,0.9737624323368073,0.009424193752929568,32.80950543145873,0.0005456236851750873,0.07070535397973192,0.12811074152588844,0.0005522892234148457,0.15161030262708663,5.326892852783203,13.115932540893555,0.0,0.0,0.015875,0.04375,0.111875,pass,20
promoted_ours-base_wmsg20,promoted,Ours-base,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/checkpoint_0005.pth,83d4e7e6f09d898652e39a3bb87eae4c4d812370ccaacb961217d80bbf78f7f5,5,50,34.900542732286006,0.9465360939502716,0.9786064410209656,0.0033960399054922164,34.12323929151835,0.0004129919313709252,0.09268271594954415,0.1684361931681633,0.0004204889485845342,0.16149556189775466,4.427499532699585,10.788239421844482,0.0,0.0,0.0161875,0.0450625,0.1154375,pass,5
promoted_ours-base_wmsg20,promoted,Ours-base,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/checkpoint_0010.pth,267bf76e9668969c3feaca92c3decf911bb6665b4933c4ac0673754d19fb785e,10,50,35.087676530933706,0.9496260583400726,0.9798627114295959,0.003272789940237999,34.303393946720604,0.00039604927544132805,0.09435001562580941,0.1712700156867504,0.000403215941041708,0.1620278388261795,4.284598803520202,10.471363105773925,0.0,0.0,0.015,0.041875,0.1108125,pass,10
promoted_ours-base_wmsg20,promoted,Ours-base,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/checkpoint_0015.pth,8622eb36b8cf8848ea3c47e5412b024fb88d88cd9ce7a8002f4b0307c308d6c7,15,50,34.39928500057413,0.940478767156601,0.9765824258327485,0.003701281419489533,33.66119110748227,0.0004561874869978055,0.08626472971860209,0.15622043587267398,0.00046523557160981,0.1592812430858612,4.509419088363647,10.836548919677734,0.0,0.0,0.0153125,0.043875,0.113125,pass,15
promoted_ours-base_wmsg20,promoted,Ours-base,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/checkpoint_0020.pth,fbd92f3d20be6551c301d0c36323623d73bed993db5ffa4332c9d404c1c20784,20,50,35.189393867590375,0.9490683960914612,0.979976372718811,0.002502748656552285,34.412367331389305,0.00038745406971429474,0.09524348788116868,0.1731027689576149,0.00039588232291862366,0.16255780249834062,4.134839186668396,10.054113025665282,0.0,0.0,0.016,0.0434375,0.1108125,pass,20
