run,phase,method,condition,screen_condition,w_msg,lambda_img,config,output_dir,epochs,source_checkpoint,source_checkpoint_sha256,checkpoint,checkpoint_sha256,checkpoint_epoch,samples,psnr,ssim,ms_ssim,lpips,local_psnr,p95,gini,cv,top10_mean,top10_energy_share,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,status,evaluation_epoch
promoted_ours_wmsg20,promoted,Ours,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/checkpoint_0005.pth,3edbdb66c54fed3e8055e0f4fcdfade197ecbadd930cdac0feffe91656741c0b,5,50,34.97057417507345,0.9471165060997009,0.9788638031482697,0.0031343310163356366,34.22027291524583,0.0004026055391295813,0.08894195163096225,0.16165397480130195,0.0004097534640459344,0.15996437579393386,4.391688747406006,10.701232490539551,0.0,0.0,0.016,0.04525,0.115375,pass,5
promoted_ours_wmsg20,promoted,Ours,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/checkpoint_0010.pth,b6b7f2a79e24910a8c38362a216b66715433871e3f8556c0196979e2d8868e67,10,50,35.27282249911332,0.9514029514789581,0.9806360852718353,0.003106441436102614,34.521008088518286,0.0003757672796200495,0.0886522091934268,0.16121038794517517,0.0003823918628040701,0.1601320230960846,4.217263703346252,10.31989725112915,0.0,0.0,0.01525,0.04225,0.110625,pass,10
promoted_ours_wmsg20,promoted,Ours,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/checkpoint_0015.pth,a335c0d47e94a7bfb85113b971d173942a2c75c260bb74cc1e320d1c965a2b8a,15,50,34.54233460520313,0.9476555824279785,0.9792739844322205,0.005683358508395031,33.65655116375216,0.0004716757022833917,0.10488380907766587,0.1917731285095215,0.00048020977119449525,0.1679335555434227,4.460858063697815,10.579312515258788,0.0,0.0,0.01525,0.0431875,0.1125,pass,15
promoted_ours_wmsg20,promoted,Ours,promoted_wmsg20,wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/checkpoint_0020.pth,50a51d4c327b0ea2f45ff558195b2241de1053b8a97acd5321ec77c963c78297,20,50,35.6377520441701,0.9541328299045563,0.9819429254531861,0.0023457746021449564,34.90593517217285,0.00034487296783481725,0.0891638264225587,0.16251191169023513,0.0003513880103128031,0.15974221557378768,3.9457087755203246,9.58474835395813,0.0,0.0,0.0159375,0.043875,0.111125,pass,20
promoted_ours-base_reference,promoted,Ours-base,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/checkpoint_0005.pth,49a2ba6c1b97b4e5f8a5cfc0ddf126f207004d314e12ea225c7ae6cd7353dced,5,50,35.31424488733145,0.9509281527996063,0.9804017770290375,0.003187947447877377,34.52222366386737,0.0003785038368368987,0.09555778711609784,0.17397884756326676,0.0003859012830071151,0.16286055564880372,4.178788628578186,10.221279983520509,0.0,0.0,0.016,0.044875,0.1148125,pass,5
promoted_ours-base_reference,promoted,Ours-base,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/checkpoint_0010.pth,fcacf49a3343c085d2633e2be269a86370501d871107cd96427a4342e562b34d,10,50,35.6800449664543,0.9550098145008087,0.9820550692081451,0.002912794838193804,34.89093914836165,0.00034777093496813906,0.0960730360222648,0.17473626345396043,0.00035495930293109266,0.16317229330539704,3.962819619178772,9.75298906326294,0.0,0.0,0.0153125,0.0419375,0.1115,pass,10
promoted_ours-base_reference,promoted,Ours-base,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/checkpoint_0015.pth,174c4f3e046985b50cdeb1e99e2c5d6592bdfcac8507c9c1e60c606ead0dacbe,15,50,35.12398473765971,0.9543635082244873,0.9818794786930084,0.0053581830766052,34.106360486183306,0.0004397411929676309,0.12968773548982207,0.2382204934954643,0.00045017859141808,0.17895803213119507,4.1914581823349,10.105974035263062,0.0,0.0,0.015375,0.044625,0.1131875,pass,15
promoted_ours-base_reference,promoted,Ours-base,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/checkpoint_0020.pth,666621dbe71e351477b00531cec1b25e94ad74a62e8df8f14f465804ea4d5b02,20,50,36.222525735101684,0.9597028875350953,0.9841176509857178,0.0022126471356023105,35.42592541021401,0.0003108426282415167,0.10093777436212466,0.1843072947859764,0.00031799885618966073,0.16515229612588883,3.6546008157730103,8.972417182922364,0.0,0.0,0.015875,0.0435,0.111,pass,20
promoted_ours_reference,promoted,Ours,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/checkpoint_0005.pth,e6820514df3732f06d71a7e6ea302fcbfe06d64a6fc6faaf277f994bd6886a29,5,50,35.38101385790666,0.9514158201217652,0.9806226503849029,0.0029718462319578975,34.612166679219534,0.00036961714286007916,0.09203502663692882,0.16757360279560088,0.0003766583005199209,0.1614591261744499,4.154285659790039,10.167656364440917,0.0,0.0,0.0160625,0.045,0.1153125,pass,5
promoted_ours_reference,promoted,Ours,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/checkpoint_0010.pth,ded96dace4a7c4a759705f466914caf2d03ed518621ad56c0fcf5cfb19405d15,10,50,35.806402701269484,0.9561567652225494,0.9825442087650299,0.0027531924669165165,35.040734642977384,0.0003355499784083804,0.09202075757080752,0.16764886021614075,0.00034223509224830197,0.16184365421533584,3.915218276977539,9.652717113494873,0.0,0.0,0.015375,0.0421875,0.111625,pass,10
promoted_ours_reference,promoted,Ours,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/checkpoint_0015.pth,69421759d7a62224955ee3d2a555380c6a409d0373b22aa1bc7eb42155d9521b,15,50,35.7929196535037,0.9570640647411346,0.983017795085907,0.0034797684568911792,35.02084142262386,0.0003369058072712505,0.09361448600358387,0.16992971569299697,0.00034389314125292,0.16215807288885117,3.8825225591659547,9.454779634475708,0.0,0.0,0.0154375,0.044375,0.11375,pass,15
promoted_ours_reference,promoted,Ours,promoted_reference,reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/checkpoint_0020.pth,d6e5910736793b798a069b974a57968ccf2fc5400ec95f52b6f3269cedf027c6,20,50,36.410612332292104,0.9614832425117492,0.9848390293121337,0.0021260271361097692,35.65298752384227,0.00029455477531882936,0.0945688821649359,0.1730518999695778,0.0003006856783758849,0.16290770798921586,3.598625340461731,8.83965467453003,0.0,0.0,0.015875,0.0435625,0.111,pass,20
