run,method,condition,w_msg,lambda_img,config,output_dir,epochs,source_checkpoint,source_checkpoint_sha256,checkpoint,checkpoint_sha256,checkpoint_epoch,samples,psnr,ssim,ms_ssim,lpips,local_psnr,p95,gini,cv,top10_mean,top10_energy_share,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,status,phase,screen_condition
ours-base_img025,Ours-base,img025,10.0,0.25,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_img025/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_img025,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_img025/checkpoint_0005.pth,adc716f8a236be908963b9a80ab7b19a6adedc42286bbe9238d266e6cc3fa38b,5,50,34.69796547460056,0.9443909013271332,0.9777254247665406,0.0036080516083166004,33.92379659211995,0.0004312837414909154,0.09231015136704405,0.16770149141550064,0.00043897824361920356,0.1609641706943512,4.503044562339783,10.926151008605958,0.0,0.0,0.016,0.0446875,0.114875,pass,,
ours_img025,Ours,img025,10.0,0.25,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_img025/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_img025,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_img025/checkpoint_0005.pth,c099b6c95f8276c211e27a9b1c23f7ae08d52d27df33319b2c28deab5a693d7d,5,50,34.72839100005883,0.9445511972904206,0.9778009331226349,0.0034886985667981207,33.967204826937284,0.0004264892234641593,0.0906037966119158,0.1645805747807026,0.00043383598153013737,0.16022661775350572,4.490457444190979,10.906072292327881,0.0,0.0,0.0159375,0.0448125,0.11525,pass,,
ours-base_wmsg20_img05,Ours-base,wmsg20_img05,20.0,0.5,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20_img05/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20_img05,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20_img05/checkpoint_0005.pth,0941147266789347f47488f027d28399fac94e95e93df3dc72e9b26753285bfe,5,50,34.53364915648359,0.9423644053936004,0.9768767511844635,0.0035279728891327976,33.76628491542652,0.0004466118017444387,0.09124007026377726,0.16565004870295524,0.00045452723104972393,0.16052875608205797,4.626859517097473,11.220393772125243,0.0,0.0,0.0163125,0.0451875,0.1150625,pass,,
ours_wmsg20_img05,Ours,wmsg20_img05,20.0,0.5,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20_img05/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20_img05,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20_img05/checkpoint_0005.pth,2a806c2f08f6ed488e93b207f0a13b465ec20c14ce8fded6f34fd53702a0225a,5,50,34.57588208746528,0.9426612436771393,0.9770178675651551,0.0034155562240630387,33.82959060585981,0.0004391070944257081,0.08827097640392045,0.16023711621761322,0.0004463787458371371,0.15924369424581528,4.612584257125855,11.208973598480224,0.0,0.0,0.01625,0.045375,0.11475,pass,,
ours-base_wmsg20_img025,Ours-base,wmsg20_img025,20.0,0.25,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20_img025/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20_img025,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg20_img025/checkpoint_0005.pth,a087502a16c85dcf0420690e609eb3cfc17f890685541aa273b55ffd1d201adf,5,50,34.28189094354105,0.9396093451976776,0.9757347583770752,0.003854186900425702,33.52642413738608,0.00047112922184169295,0.08948576694184554,0.16238386914134026,0.0004789799085119739,0.15971244633197784,4.7589280319213865,11.51785816192627,0.0,0.0,0.0161875,0.0450625,0.115,pass,,
ours_wmsg20_img025,Ours,wmsg20_img025,20.0,0.25,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20_img025/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20_img025,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg20_img025/checkpoint_0005.pth,5621c83c2ec965e5fabc445a63b1b79f5db3d75d60e93a1be90fa8dffed8132c,5,50,34.29805152125781,0.9397311627864837,0.975812052488327,0.0038611280196346343,33.557385923417336,0.0004666525445645675,0.08741908670808947,0.15853611581027507,0.00047412112762685866,0.15874469608068467,4.763123841285705,11.540408630371093,0.0,0.0,0.0163125,0.045125,0.115,pass,,
ours-base_wmsg40_img05,Ours-base,wmsg40_img05,40.0,0.5,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40_img05/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40_img05,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40_img05/checkpoint_0005.pth,b01e5c81321f67c5916d612bc313685bee78c6986c98157e6589c5b349fb727e,5,50,33.798163565194784,0.9342714560031891,0.9734070456027984,0.004245834646280855,33.04940138032077,0.0005250476794026326,0.08909127508113628,0.16152245983481406,0.0005337889434304089,0.15931204110383987,5.026918678283692,12.166319885253905,0.0,0.0,0.01625,0.044,0.1150625,pass,,
ours_wmsg40_img05,Ours,wmsg40_img05,40.0,0.5,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40_img05/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40_img05,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40_img05/checkpoint_0005.pth,7763796f8130051fb813e32b64589c4de8953a172c2a8580d4b2dd53a3c72d5a,5,50,33.84098365610471,0.934186133146286,0.9734335374832154,0.0039934620051644745,33.123404006463744,0.0005133856968313922,0.08474360076151076,0.15351082630455493,0.000521461043972522,0.1572686818242073,5.019789524078369,12.17066499710083,0.0,0.0,0.01625,0.0446875,0.1150625,pass,,
ours-base_wmsg40_img025,Ours-base,wmsg40_img025,40.0,0.25,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40_img025/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40_img025,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-base_wmsg40_img025/checkpoint_0005.pth,1906dd244fe9c3d6259b7147d442adc9944b162fc128aef0643eef171fcbb224,5,50,33.541478059055905,0.9313564050197601,0.9721689641475677,0.004734995646867901,32.798180944968735,0.0005560941119620111,0.08805669260476585,0.15965483218431473,0.0005649934837128967,0.15898710429668428,5.167387557029724,12.450414180755615,0.0,0.0,0.016,0.0440625,0.1151875,pass,,
ours_wmsg40_img025,Ours,wmsg40_img025,40.0,0.25,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40_img025/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40_img025,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours_wmsg40_img025/checkpoint_0005.pth,018600ebd21db7052024e89328f129b270e570d908cacefee75dd6427eb3a907,5,50,33.552889161982414,0.9313785111904145,0.9722159528732299,0.004668149927165359,32.831660279267886,0.0005495143024018034,0.0851052577048578,0.15405618712306024,0.0005578962329309434,0.15748779714107514,5.175944299697876,12.494824829101562,0.0,0.0,0.016375,0.04375,0.11525,pass,,
