run,method,condition,w_msg,lambda_img,config,output_dir,epochs,source_checkpoint,source_checkpoint_sha256,checkpoint,checkpoint_sha256,checkpoint_epoch,samples,psnr,ssim,ms_ssim,lpips,local_psnr,p95,gini,cv,top10_mean,top10_energy_share,ciede2000_global,ciede2000_top10,ber100,ber70,ber50,ber40,ber30,status,phase,screen_condition
promoted_ours-base_wmsg80,Ours-base,promoted_wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg80/checkpoint_0020.pth,e2016823b56b830b8ee108a9fd08a5d3af8e7430dff3d569941b58895b2b11ec,20,50,31.486392332196957,0.9069420707225799,0.9621775472164154,0.010058202603831888,30.78058822402878,0.0008707015530671924,0.08138438120681774,0.14722327917814254,0.0008823157148435712,0.15515543073415755,6.349857444763184,14.810484771728516,0.0,0.0,0.016125,0.04425,0.1099375,pass,promoted,wmsg80
promoted_ours_wmsg80,Ours,promoted_wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg80/checkpoint_0020.pth,df4357556a1bb4f2caf84b6603da5905e80347c498b0d42c22e5556059db31a9,20,50,32.353024096039,0.9134210312366485,0.9653449499607086,0.004640899959485978,31.61033297843236,0.0007261043498874641,0.08706268247284649,0.15732138484716415,0.0007368411787319929,0.15807064414024352,5.6493515777587895,13.641726512908935,0.0,0.0,0.01575,0.0436875,0.110625,pass,promoted,wmsg80
promoted_ours-base_wmsg40,Ours-base,promoted_wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg40/checkpoint_0020.pth,f3b3391d231801594d66cbf8001de86b31d7a66c56ab102f8c66fa4efbe7ece1,20,50,33.78577818110702,0.9336175537109375,0.9737020230293274,0.004099124621134252,33.04112845272648,0.0005226872711500619,0.08671867329051054,0.15654435396194458,0.000530930669629015,0.15830072671175002,4.901401424407959,11.703157653808594,0.0,0.0,0.016,0.0438125,0.111375,pass,promoted,wmsg40
promoted_ours_wmsg40,Ours,promoted_wmsg40,40.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg40/checkpoint_0020.pth,4279270cb7e1e21c7416333ebe5f9a30024839f5374a93d546600a965d489443,20,50,33.426017653208575,0.9339370667934418,0.9737624323368073,0.009424193752929568,32.80950543145873,0.0005456236851750873,0.07070535397973192,0.12811074152588844,0.0005522892234148457,0.15161030262708663,5.326892852783203,13.115932540893555,0.0,0.0,0.015875,0.04375,0.111875,pass,promoted,wmsg40
promoted_ours-base_wmsg20,Ours-base,promoted_wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_wmsg20/checkpoint_0020.pth,fbd92f3d20be6551c301d0c36323623d73bed993db5ffa4332c9d404c1c20784,20,50,35.189393867590375,0.9490683960914612,0.979976372718811,0.002502748656552285,34.412367331389305,0.00038745406971429474,0.09524348788116868,0.1731027689576149,0.00039588232291862366,0.16255780249834062,4.134839186668396,10.054113025665282,0.0,0.0,0.016,0.0434375,0.1108125,pass,promoted,wmsg20
promoted_ours_wmsg20,Ours,promoted_wmsg20,20.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_wmsg20/checkpoint_0020.pth,50a51d4c327b0ea2f45ff558195b2241de1053b8a97acd5321ec77c963c78297,20,50,35.6377520441701,0.9541328299045563,0.9819429254531861,0.0023457746021449564,34.90593517217285,0.00034487296783481725,0.0891638264225587,0.16251191169023513,0.0003513880103128031,0.15974221557378768,3.9457087755203246,9.58474835395813,0.0,0.0,0.0159375,0.043875,0.111125,pass,promoted,wmsg20
promoted_ours-base_reference,Ours-base,promoted_reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours-base_reference/checkpoint_0020.pth,666621dbe71e351477b00531cec1b25e94ad74a62e8df8f14f465804ea4d5b02,20,50,36.222525735101684,0.9597028875350953,0.9841176509857178,0.0022126471356023105,35.42592541021401,0.0003108426282415167,0.10093777436212466,0.1843072947859764,0.00031799885618966073,0.16515229612588883,3.6546008157730103,8.972417182922364,0.0,0.0,0.015875,0.0435,0.111,pass,promoted,reference
promoted_ours_reference,Ours,promoted_reference,10.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference,20,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/promoted_ours_reference/checkpoint_0020.pth,d6e5910736793b798a069b974a57968ccf2fc5400ec95f52b6f3269cedf027c6,20,50,36.410612332292104,0.9614832425117492,0.9848390293121337,0.0021260271361097692,35.65298752384227,0.00029455477531882936,0.0945688821649359,0.1730518999695778,0.0003006856783758849,0.16290770798921586,3.598625340461731,8.83965467453003,0.0,0.0,0.015875,0.0435625,0.111,pass,promoted,reference
ours-tail75_wmsg80,Ours-tail75,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-tail75_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-tail75_wmsg80,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-tail75_wmsg80/checkpoint_0005.pth,34a14334806be8535d791621d5a62f57149006bf029b0b276fa39485446d6867,5,50,33.29530352274056,0.9295703673362732,0.9715024209022523,0.005858180685900152,32.574150300200415,0.0005816294426040259,0.08469716380611385,0.1528121690452099,0.0005909592116950079,0.15752803385257722,5.34028314113617,12.85722906112671,0.0,0.0,0.016125,0.0425,0.1141875,pass,extension,
ours-tail90_wmsg80,Ours-tail90,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-tail90_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-tail90_wmsg80,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-tail90_wmsg80/checkpoint_0005.pth,df041c5b8e93cd5ec733026bc8b625e457dad26a0063cf6da12ea5fb8f66a3c3,5,50,33.328746687393036,0.9291441094875336,0.9712788617610931,0.005556989049073309,32.63678350433709,0.0005710651325352956,0.07959386169272407,0.14364094749093057,0.000579290566383861,0.15541002541780471,5.358570079803467,12.91560245513916,0.0,0.0,0.0159375,0.042875,0.1138125,pass,extension,
ours-top5_wmsg80,Ours-top5,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-top5_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-top5_wmsg80,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-top5_wmsg80/checkpoint_0005.pth,e63037bf5a6963f1cc78b3631478304e4bff30cc25e56ed7411e61be4bbd2561,5,50,33.25294444081172,0.9279915690422058,0.970791939496994,0.0054643800505436955,32.543258541293284,0.0005846506556554232,0.0827575042886318,0.14934342116117477,0.0005936064117122442,0.15659979104995728,5.37719961643219,12.90914119720459,0.0,0.0,0.0160625,0.04325,0.1145625,pass,extension,
ours-top20_wmsg80,Ours-top20,wmsg80,80.0,1.0,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-top20_wmsg80/config.json,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-top20_wmsg80,5,/mnt/wmcontent/GLX/icassp/MBRS/experiments/runs/optimization_global_seed17_128_m64_crop/checkpoint_0100.pth,1a82ec4f9559c5861fdcbd51ddd76b4ecce2507e7ecf8c1a7e63a9ea6cce2907,/mnt/wmcontent/GLX/icassp/MBRS/checkpoints/fig2_stress/ours-top20_wmsg80/checkpoint_0005.pth,4701d0d7eec396ed00590def1de76de062babd313982ad0ec9ee1d983f78fa8a,5,50,33.270454297469065,0.9281104326248169,0.9708584547042847,0.005351122778374701,32.53686065863585,0.0005878705448412802,0.08675921175046636,0.15704692050814628,0.0005973249097587541,0.158176266849041,5.374336314201355,12.943806324005127,0.0,0.0,0.0155,0.042375,0.115125,pass,extension,
