method,comparison,payload,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,patch_ssim_bottom10_mean,patch_lpips_top10_mean,ssim_tail_gap,raw_ber_100,raw_bit_accuracy_100,exact_decode_success_100,detection_success_100,raw_ber_70,raw_bit_accuracy_70,exact_decode_success_70,detection_success_70,raw_ber_50,raw_bit_accuracy_50,exact_decode_success_50,detection_success_50,raw_ber_40,raw_bit_accuracy_40,exact_decode_success_40,detection_success_40,raw_ber_30,raw_bit_accuracy_30,exact_decode_success_30,detection_success_30
TrustMark Q,REFERENCE,61 data + 35 parity + 4 schema bits,42.293755187568465,0.9909865283966064,0.9950993800163269,0.0009647487016627565,39.70751903455599,0.00013045626765233463,0.355391601510114,0.6755010228021936,2.3449410056545736,0.2931176257068217,0.9774577856063843,0.000399945541867055,0.014508076906204224,0.0038,0.9962000000000001,1.0,1.0,0.007880000000000002,0.9921200000000001,0.972,0.972,0.05192,0.9480799999999999,0.584,0.592,0.1164,0.8835999999999999,0.112,0.124,0.19052000000000002,0.80948,0.0,0.012
TrustMark P,REFERENCE,61 data + 35 parity + 4 schema bits,48.10728127799112,0.9975113523006439,0.9988487660884857,0.0003047011443413794,46.57226566479088,2.554578884428338e-05,0.196822747596782,0.36119029374741496,1.68130837156742,0.2101635464459275,0.9945542645454407,0.00022313545588986016,0.0031185030937194826,0.004,0.9960000000000001,0.96,0.96,0.018439999999999998,0.9815600000000001,0.84,0.844,0.07940000000000001,0.9206,0.368,0.38,0.1636,0.8364,0.044,0.048,0.25012,0.74988,0.0,0.028
