Effect,Seed,PSNR,Top-25 Local PSNR,P95,P99,LPIPS,Global CIEDE2000,Top10 CIEDE2000,Gini,BER30
Ours - Global,17,0.5917365088686495,0.6196820096175131,-3.966063915868291e-05,-4.1726320429006584e-05,-0.00043248525238595895,-0.28176606986156605,-0.3868749908451443,-0.002876527102699533,-1.3877787807814457e-17
Ours - Global,23,0.8066682725654175,0.825546561367176,-4.822228242119307e-05,-4.978691115684346e-05,-0.00032114948611706474,-0.3971794659394803,-0.565835283468493,0.000765001905194157,0.0002500000000000002
Ours - Global,42,0.6199265673851286,0.6297411575135143,-3.7233689436106906e-05,-3.8960482852417005e-05,-0.00036408820305950935,-0.33180601886291017,-0.4689078677693077,0.0011546640079835857,-0.0003749999999999726
Hard - Global,17,0.17912772053767867,0.23216308497656968,-1.7198072091559888e-05,-1.8885847748606455e-05,-0.00013442080002278077,-0.051066995863243925,-0.08343786100819095,-0.008109840280679279,-0.0001875000000000071
Hard - Global,23,0.2613285449292704,0.3075016123805838,-2.043538886937308e-05,-2.1618199389195037e-05,-0.0001798101072199641,-0.10518415100544676,-0.16939052528182952,-0.0059019351214767285,0.0003125000000000072
Hard - Global,42,0.1372017132076664,0.1850420830430366,-1.2911477533634759e-05,-1.4031466736923865e-05,-0.00024975438253022715,-0.04048456189895466,-0.057070822693989776,-0.006615085031284745,-0.0004999999999999866
Ours - Hard,17,0.4126087883309708,0.3875189246409434,-2.2462567067123025e-05,-2.284047268040013e-05,-0.0002980644523631782,-0.23069907399832212,-0.30343712983695337,0.005233313177979745,0.00018749999999999323
Ours - Hard,23,0.5453397276361471,0.5180449489865921,-2.7786893551819987e-05,-2.816871176764842e-05,-0.00014133937889710063,-0.2919953149340335,-0.39644475818666347,0.0066669370266708855,-6.2500000000007e-05
Ours - Hard,42,0.48272485417746225,0.44469907447047774,-2.4322211902472147e-05,-2.492901611549314e-05,-0.0001143338205292822,-0.2913214569639555,-0.41183704507531793,0.007769749039268331,0.000125000000000014
