Method,Seed,PSNR,Top-25 Local PSNR,P95,P99,LPIPS,Global CIEDE2000,Top10 CIEDE2000,Gini,BER30
Global,17,36.26317237177012,35.52221250320571,0.000301653206042829,0.0003199585440888768,0.0023495975974947214,3.535857397079775,5.15910405622923,0.09500680981487682,0.11312500000000002
Global,23,36.44898757772737,35.7006409259806,0.0002898393315990688,0.0003077535522315884,0.0023451753542758523,3.5513645817410726,5.200859477141043,0.0961388081585493,0.1141875
Global,42,36.39581669708019,35.695056745526,0.0002905324678431498,0.000308526883032755,0.002195365789812058,3.5410213494903564,5.173080270164734,0.09237448165048855,0.11518749999999998
Hard Local-Tail,17,36.442300092307796,35.75437558818228,0.0002844551339512691,0.0003010726963402703,0.0022151767974719406,3.484790401216531,5.075666195221039,0.08689696953419754,0.11293750000000001
Hard Local-Tail,23,36.71031612265664,36.008142538361184,0.0002694039427296957,0.00028613535284239335,0.002165365247055888,3.446180430735626,5.031468951859213,0.09023687303707258,0.1145
Hard Local-Tail,42,36.53301841028786,35.88009882856904,0.000277620990309515,0.0002944954162958311,0.001945611407281831,3.5005367875914017,5.116009447470744,0.0857593966192038,0.1146875
Ours,17,36.85490888063877,36.14189451282322,0.0002619925668841461,0.0002782322236598702,0.0019171123451087624,3.254091327218209,4.772229065384086,0.09213028271217728,0.113125
Ours,23,37.25565585029279,36.52618748734778,0.00024161704917787573,0.00025796664107474493,0.0020240258681587875,3.1541851158015923,4.63502419367255,0.09690381006374346,0.1144375
Ours,42,37.01574326446532,36.32479790303952,0.00025329877840704287,0.000269566400180338,0.0018312775867525488,3.2092153306274462,4.704172402395426,0.09352914565847213,0.11481250000000001
