alpha,Global PSNR,Ours PSNR,Global Top-25 Local PSNR,Ours Top-25 Local PSNR,Global P95,Ours P95,Global LPIPS,Ours LPIPS,Global CIEDE2000,Ours CIEDE2000,Global BER30,Ours BER30
0.7,39.35127623197994,39.94290933402009,38.61005783081055,39.23075485229492,0.00014815264505159574,0.0001286472139690886,0.0011444222857244313,0.0009365836973302067,2.4998564553260803,2.2990352487564087,0.11299999999999999,0.113625
0.75,38.75364810608313,39.34529748962014,38.01258850097656,38.63311767578125,0.00017000102674501248,0.0001476266814643168,0.0013150266651064156,0.0010759199631866067,2.6744186639785767,2.459812321662903,0.11306249999999998,0.113625
0.8,38.19469360122372,38.78639147696748,37.45366668701172,38.074127197265625,0.00019334267162776086,0.0001679044280172093,0.0014975487033370882,0.0012239722127560526,2.848256702423096,2.61997305393219,0.11306250000000002,0.11356250000000001
0.85,37.66976376062738,38.26148244773332,36.92873001098633,37.54914093017578,0.00021817530599946622,0.00018948176482808777,0.001691991442348808,0.0013832005893345922,3.02134295463562,2.7794997262954713,0.11306250000000001,0.11324999999999999
0.9,37.1749426679784,37.766675988498626,36.433929443359375,37.05414962768555,0.0002445089393586386,0.0002123573375865817,0.0018986040260642767,0.0015510713565163314,3.1936515855789183,2.9383731079101563,0.11312500000000002,0.11306249999999998
0.925,36.93779097087712,37.529532845865845,36.19679260253906,36.81690216064453,0.00025823632000538055,0.00022428064454288688,0.002007110849954188,0.0016390041226986797,3.279507260322571,3.0175590753555297,0.11312500000000002,0.113125
0.95,36.706995568864286,37.29873945785308,35.96600341796875,36.58598327636719,0.00027233688480919225,0.00023652807263715658,0.0021178579446859656,0.0017294395610224457,3.3651615142822267,3.0965750503540037,0.11312500000000002,0.11324999999999999
0.975,36.482223709871576,37.07396524162828,35.74124526977539,36.361080169677734,0.0002868102323554922,0.00024909854859288315,0.002231848973315209,0.0018215378944296389,3.4506133580207825,3.1754194498062134,0.11312500000000002,0.113125
1.0,36.263171954760296,36.854909401406786,35.522212982177734,36.14189529418945,0.0003016532064793864,0.0002619925668841461,0.0023495967593044043,0.0019171123451087624,3.5358573961257935,3.254091327190399,0.11312500000000002,0.113125
