Method,Tail,OKLab,PSNR,Top-25 Local PSNR,P95 MSE,P99 MSE,LPIPS,Global CIEDE2000,Top10 CIEDE2000,Gini,BER30
RGB0.5-Control,0,0,35.1644855595014,34.447720797014455,0.0003813118117977865,0.0004026092407875694,0.002618282630573958,4.027173638761375,5.858652165814841,0.08831557663159412,0.11306250000000001
Global+OKLab-only,0,1,35.943842122930974,35.207559398539075,0.00032278636455885135,0.0003422455384570639,0.002365542196203023,3.5772045382048288,5.215555905914027,0.09336337598584729,0.11325000000000003
Hard Local-Tail,1,0,36.442300092307796,35.75437558818228,0.00028445514719351196,0.0003010726966604125,0.0022151767974719406,3.4847903943061826,5.075666151046753,0.08689696953419754,0.11293750000000001
Ours,1,1,36.85490888063877,36.14189451282322,0.00026199255902611187,0.0002782322409475455,0.0019171123451087624,3.254091327190399,4.772229065895081,0.09213028271217728,0.113125
