method,image_index,global_mse,top25_local_psnr,patch_mse_p95,patch_mse_p99,full_lpips,ciede2000_global,ciede2000_top10,gini,ber30
RGB0.5-Control,0,0.00030396771035157144,34.636634322534114,0.00034847730421461165,0.00037100841873325405,0.002749830484390259,4.7646234979724795,6.252348490100844,0.058523772871009655,0.178125
RGB0.5-Control,1,0.00026821758365258574,35.041679581416204,0.00032876202749321237,0.00034143192024203015,0.0013738942798227072,4.068472173228201,5.680904758445367,0.07232594372073078,0.15625
RGB0.5-Control,2,0.0002947172906715423,34.7790670081779,0.0003358633111929521,0.00033763332467060534,0.0031816759146749973,4.133902026828309,5.771117937782265,0.0712092070402879,0.140625
RGB0.5-Control,3,0.00024695013416931033,35.65791002285235,0.00027750813751481473,0.00028173820464871824,0.002400434110313654,4.596549505310122,6.32089389754636,0.03990999533596484,0.15625
RGB0.5-Control,4,0.00024543446488678455,35.57086845228169,0.0002853574769687839,0.00029551140178227795,0.0023549264296889305,3.9545439668652307,5.737072011336237,0.0636400081154516,0.134375
RGB0.5-Control,5,0.00029256814741529524,34.43962760162912,0.0003675541083794087,0.0003702086571138352,0.004129643552005291,4.1985113254793305,6.029743118334964,0.09666153182952428,0.140625
RGB0.5-Control,6,0.00033307564444839954,33.3507433071561,0.0005039619791205041,0.000598391295352485,0.002736210823059082,3.7628832615350802,5.475735844705443,0.15477774032918037,0.1625
RGB0.5-Control,7,0.0003413924714550376,33.35077885014314,0.00048314552259398624,0.0006634913021116517,0.001995938131585717,4.025133736235148,5.9605483067628615,0.12344011358949532,0.153125
RGB0.5-Control,8,0.0002484888827893883,35.30957018857879,0.00030017629615031183,0.00031019853777252137,0.0019429237581789494,5.003228709766972,6.702908425799272,0.07355596020666869,0.16875
RGB0.5-Control,9,0.00034568284172564745,33.56082287062472,0.0004640275874407962,0.0004702853417256847,0.003210368100553751,4.024607922329324,6.1119503520535705,0.11060933457783566,0.16875
RGB0.5-Control,10,0.0002608687209431082,35.278649242077734,0.0002989130443893373,0.00030071696965023876,0.003370448015630245,4.90275360044825,6.48580173677175,0.06397938330795182,0.140625
RGB0.5-Control,11,0.0002863336994778365,34.83992542964184,0.0003407655531191267,0.0003477705366094597,0.0022839100565761328,4.2046216374537835,5.990027206299053,0.051575138309656786,0.121875
RGB0.5-Control,12,0.0002403872786089778,35.35241597050107,0.00030851413612253964,0.00031459199381060897,0.002109136199578643,4.478383626222239,6.09708779952209,0.07889132123602256,0.159375
RGB0.5-Control,13,0.0003479090810287744,33.79689113762248,0.00042741002835100517,0.0004436563744093291,0.0025037142913788557,3.938669979521819,5.616289172578695,0.08576054247643063,0.153125
RGB0.5-Control,14,0.0002554933598730713,35.34982882396723,0.0002975885436171666,0.00030165687494445594,0.0029730917885899544,3.5117909545379007,4.94752893274604,0.06283526115845153,0.1375
RGB0.5-Control,15,0.0003232704184483737,34.183029125832135,0.0003925096243619919,0.0003978349268436432,0.0019170489395037293,4.052504670196413,6.119764971615279,0.08852853892387362,0.146875
RGB0.5-Control,16,0.00025294270017184317,34.87841569880559,0.0003284681952209212,0.0003677633430925198,0.002982247155159712,4.3484998697674655,6.230471152953504,0.11789880530537804,0.065625
RGB0.5-Control,17,0.0002568094932939857,35.15329219581888,0.00031288825266528875,0.0003144528396660462,0.002448743674904108,3.4533758651048174,5.31946527671752,0.08878325529953279,0.046875
RGB0.5-Control,18,0.00033032195642590523,33.970816577856326,0.00041923730896087363,0.00043188708514207974,0.0026602090802043676,3.6536937074097295,6.0716459139571155,0.09269569692711938,0.0625
RGB0.5-Control,19,0.0005033256602473557,31.922307497058434,0.0006484708865173161,0.0008165752631612122,0.003265940584242344,3.3201471966713143,5.632872850353138,0.11957915259081807,0.078125
RGB0.5-Control,20,0.00026453202008269727,35.2408444819785,0.00030440893897321075,0.0003097111562965438,0.0016906694509088993,3.8935161746312588,5.590723718733216,0.063329740020435,0.08125
RGB0.5-Control,21,0.00046287852455861866,32.33949550883596,0.0006071210955269635,0.0006165479426272213,0.0031836743000894785,4.006127210079285,6.2754127938125,0.1274575955284957,0.065625
RGB0.5-Control,22,0.00029100311803631485,33.902521570783506,0.0004209454345982522,0.00044622099376283585,0.0021696996409446,3.7834050088740696,5.703922308480322,0.15142037257354182,0.071875
RGB0.5-Control,23,0.0003137200546916574,34.423357081975404,0.00036735102185048163,0.00036913524963892995,0.0019763933960348368,3.423893383965151,5.924740408048983,0.06867145019215448,0.071875
RGB0.5-Control,24,0.00027446841704659164,34.93660850791482,0.0003243287210352719,0.00033086709445342424,0.001653239130973816,3.597712815541854,5.310773486677941,0.06788587892614212,0.084375
RGB0.5-Control,25,0.0002903255808632821,33.95352604641936,0.00042949782800860703,0.0004578001622576266,0.002075938740745187,4.025377083313288,5.844788255771168,0.140636443746747,0.071875
RGB0.5-Control,26,0.00031524687074124813,33.93592740077946,0.0004115132032893598,0.0004193568485789001,0.004622237291187048,4.902440899260455,6.750042766577168,0.11367665092426661,0.059375
RGB0.5-Control,27,0.0003071287937927991,34.624572232689445,0.0003553151327650994,0.00036168782389722764,0.0014060798566788435,3.5892352860230403,6.21251031862395,0.06678859292811584,0.059375
RGB0.5-Control,28,0.0002805083931889385,34.60474640376414,0.00036286528484197333,0.0003639804446720518,0.0038240677677094936,4.12253961423221,5.776475922155676,0.08209708059716431,0.09375
RGB0.5-Control,29,0.0002334452437935397,35.30101116943748,0.00030688990227645263,0.000313862859911751,0.0018550064414739609,4.198597366279046,5.905499994661392,0.10592015152027354,0.090625
RGB0.5-Control,30,0.00025465540238656104,35.25733817911767,0.00030518355197273195,0.0003156553430017084,0.0020643454045057297,4.527403697398313,6.0608983683931035,0.08002070511166784,0.065625
RGB0.5-Control,31,0.0002635977289173752,35.078481470275605,0.00031742216378916055,0.0003254331328207627,0.0020610035862773657,3.811554062614505,5.411936109222579,0.07403584793273907,0.04375
RGB0.5-Control,32,0.00026329467073082924,35.30984705165476,0.0003009599822689779,0.0003039454939425923,0.0019537601619958878,3.867685698692185,5.431400462228547,0.04701825468078512,0.071875
RGB0.5-Control,33,0.0002500849950592965,35.44200564170636,0.0002881489272112958,0.0002922036554082297,0.0032392251305282116,4.763543267634532,6.392141671453072,0.06137281037248645,0.121875
RGB0.5-Control,34,0.00025992750306613743,35.27261310168396,0.00030281713407021016,0.00030312436574604363,0.0013992211315780878,4.469071622686897,6.319683234913296,0.06299641994768877,0.146875
RGB0.5-Control,35,0.00038740341551601887,32.12966381967361,0.0006310928874881938,0.0007610533531988039,0.0030509233474731445,4.140799576505287,6.4052317002347845,0.24093517002124695,0.15
RGB0.5-Control,36,0.0002470532199367881,35.56137847273307,0.0002809816724038683,0.0002854151927749626,0.0021435036323964596,4.355395885587768,6.1121209077818035,0.05635072244248993,0.128125
RGB0.5-Control,37,0.0003636149631347507,33.730493650214115,0.0004291675504646264,0.00045030138426227495,0.001501933904364705,3.0229049036034894,4.396760265402137,0.06973801111079646,0.109375
RGB0.5-Control,38,0.0005353532615117729,31.86563831746009,0.0006613342266064137,0.0006767868937458843,0.002927853260189295,3.40334718904046,5.966017487631973,0.10863166521295071,0.10625
RGB0.5-Control,39,0.0002208324003731832,35.10395867521444,0.00033561106101842597,0.00038763762131566176,0.0041432748548686504,3.3637580307222947,5.385212217492229,0.15763629683530514,0.109375
RGB0.5-Control,40,0.00029496237402781844,34.73669528748579,0.00034065502404700965,0.0003652351297205314,0.0016169768059626222,4.374373595309862,6.054972545686717,0.058080080766026616,0.11875
RGB0.5-Control,41,0.00040481938049197197,32.679968099758725,0.0005902759439777583,0.0005912180000450462,0.0024744649417698383,2.307174785018674,4.082460880449286,0.12546409054896843,0.13125
RGB0.5-Control,42,0.0002615571138449013,35.09607742011413,0.0003151681594317779,0.0003246845881221816,0.002009238814935088,4.177355793421157,6.014110620412854,0.08387124702814043,0.121875
RGB0.5-Control,43,0.00031718486570753157,34.29218252791833,0.00038225995376706123,0.0003854568116366863,0.00848234910517931,4.843071236640981,6.274492284616332,0.0708235978059142,0.146875
RGB0.5-Control,44,0.00034128493280149996,34.01367919720712,0.00040444231126457453,0.0004306025803089142,0.0014140784041956067,3.0511354713212313,5.565395159750344,0.08567965350320413,0.1125
RGB0.5-Control,45,0.00023815991880837828,35.6401636216317,0.000281959175481461,0.0002845110808266327,0.0024211853742599487,3.9669008666951413,5.619751222219284,0.067646838392217,0.125
RGB0.5-Control,46,0.0004311554366722703,33.20447177789417,0.0004931336443405598,0.0005018221156205982,0.003439870662987232,4.2145280288714275,5.432565793525257,0.05206218382380869,0.109375
RGB0.5-Control,47,0.00023698546283412725,35.61401302920045,0.00028374682733556256,0.0002865115806343965,0.001891247695311904,4.299374736173604,6.092070095403838,0.0634223416768925,0.128125
RGB0.5-Control,48,0.00036801924579776824,33.606380964860406,0.00044127470755483955,0.0004463495657546446,0.0026178285479545593,4.278624285964952,6.109870327449511,0.09532013396912353,0.0875
RGB0.5-Control,49,0.0002723823126871139,35.06510523576455,0.0003201197978341952,0.00034653896291274576,0.003014505375176668,4.180937129082395,5.956448806551405,0.051608100288533895,0.096875
Global+OKLab-only,0,0.00025560191716067493,35.375283988957165,0.00029288010409800336,0.0003138977088383399,0.0024329691659659147,4.310104189789399,5.622144998418378,0.06010517550667012,0.18125
Global+OKLab-only,1,0.00022223619453143328,35.83898959452839,0.00027595845313044265,0.0002857293249689974,0.0013759444700554013,3.581870140546016,5.046181688760982,0.07685636267707406,0.15625
Global+OKLab-only,2,0.0002442825643811375,35.596119644559295,0.0002761326468316838,0.00027764896804001183,0.0027932715602219105,3.6403009647319777,5.0665867846018315,0.07200731556370668,0.140625
Global+OKLab-only,3,0.0002023478882620111,36.53968511031991,0.00022448395247920416,0.00022895065994816833,0.002133093774318695,4.056458283922439,5.556442234067752,0.04022040610279031,0.15625
Global+OKLab-only,4,0.00019935931777581573,36.42670938763472,0.0002356112381676212,0.00024170516117010265,0.002089868998154998,3.4721870053681414,5.016671006292763,0.07039886834082483,0.1375
Global+OKLab-only,5,0.00024655036395415664,35.121198827987044,0.00031560319621348754,0.00031839711155043913,0.0038471862208098173,3.7458158748742107,5.433907195432173,0.10329265990079621,0.140625
Global+OKLab-only,6,0.00027689128182828426,34.057682303831584,0.00043449072836665437,0.0005232586277998052,0.0024990318343043327,3.32728905847398,4.8156974713251435,0.16837910678051415,0.1625
Global+OKLab-only,7,0.0002866509312298149,33.962941441721554,0.00041645515739219263,0.0005947043784544803,0.001728608040139079,3.6014158351858896,5.390040734277939,0.13963349968377983,0.153125
Global+OKLab-only,8,0.00020019477233290672,36.25327124660596,0.00023992413844098337,0.0002514696599973831,0.0018897486152127385,4.405287468291817,5.88922344497726,0.0737979458866879,0.16875
Global+OKLab-only,9,0.0002971990907099098,34.11636567409254,0.0004061094659846276,0.000417278561508283,0.0030826698057353497,3.658566169941423,5.433755633402399,0.12186452322129994,0.171875
Global+OKLab-only,10,0.00021220884809736162,36.15268375725436,0.00024363848933717236,0.00024796416255412623,0.003016249742358923,4.302840202241441,5.672697762503387,0.0675080438276543,0.140625
