method,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,patch_ssim_bottom10_mean,patch_lpips_top10_mean
TrustMark Q,42.63239357230731,0.9909865283966064,0.9950993800163269,0.0009647487016627565,39.70751903455599,0.00013045626765233463,0.355391601510114,0.6755010228021936,2.3449410056545736,0.2931176257068217,0.9774577856063843,0.000399945541867055
TrustMark P,48.30803366423993,0.9975113523006439,0.9988487660884857,0.0003047011443413794,46.57226566479088,2.554578884428338e-05,0.196822747596782,0.36119029374741496,1.68130837156742,0.2101635464459275,0.9945542645454407,0.00022313545588986016
