mode,method,warmup_iterations,measured_iterations,mean_ms,median_ms,std_ms,throughput_steps_per_s,throughput_images_per_s,peak_allocated_mib,peak_reserved_mib,parameter_count,trainable_parameter_count,architecture,additional_inference_module
training,Global,20,100,105.77950172126293,102.70652920007706,10.636678306699947,9.453627439417104,151.25803903067367,6975.46826171875,7990.0,,,,
training,Ours,20,100,107.22069472074509,105.12137413024902,7.770899545028019,9.32655773779947,149.22492380479153,6976.96240234375,7990.0,,,,
inference,Global,20,100,22.70247481763363,21.605748683214188,4.876617362126961,44.04806119301464,704.7689790882342,903.28564453125,7990.0,20805391,20805391,"EncoderDecoder(Encoder_MP, Identity, Decoder)",NONE
inference,Ours,20,100,21.769290417432785,21.601442247629166,1.1676553007227413,45.93626989326225,734.980318292196,903.28564453125,7990.0,20805391,20805391,"EncoderDecoder(Encoder_MP, Identity, Decoder)",NONE
