image_index,global_p95_patch_mse,ours_p95_patch_mse,global_top25_local_psnr,ours_top25_local_psnr
0,0.00027860575210070238,0.00021645288506988436,35.595639613755175,36.681445153352563
1,0.00025365845795022324,0.00021084246327518485,36.191826480192432,36.957965453737927
2,0.00025605550763430074,0.0002190495615650434,35.943235079251053,36.621463634042925
3,0.00020611795480363071,0.00018238099073641934,36.914508199722043,37.415461170707125
4,0.0002150806067220401,0.00018473881573299877,36.80843412361132,37.465804030369007
5,0.00029281920433277264,0.00024899087293306366,35.437733864226146,36.139927942511832
6,0.00040935887227533385,0.00036224310315446928,34.338308043112491,34.91628163010175
7,0.00039519725396530703,0.00033707769034663215,34.211463641273845,34.821807864871701
8,0.00022474619254353456,0.00019801295275101438,36.565586653435332,37.096929753862028
9,0.00038663590385112911,0.0003563995924196206,34.318546863894561,34.688301220633448
10,0.00022512293799081817,0.00019588751820265315,36.528738451484642,37.12155222095052
11,0.00026072479522554204,0.00021700275465263985,35.980569995734861,36.715211169100613
12,0.00022891524349688552,0.0001988844815059565,36.638324579441829,37.214333255508564
13,0.00034164323005825281,0.0002829376098816283,34.783610794646137,35.539826910685768
14,0.00022171668751980178,0.00019172400061506778,36.555113772073121,37.353262074870727
15,0.00030888323817634955,0.00026904214610112831,35.210493307992706,35.785670256894804
16,0.00024851372654666193,0.00020929676247760653,36.080312482615888,36.846800958664289
17,0.00023046791466185823,0.00019884780704160221,36.48523297928444,37.105909161864822
18,0.00034498053719289601,0.00030211937701096758,34.87375421495527,35.436176228623914
19,0.00057066835870500654,0.00051054637151537463,32.507567516382224,33.009123918155304
20,0.00023279084052774124,0.00019141449229209684,36.423880464271235,37.241760326280108
21,0.00052035741100553423,0.00046535950968973339,33.056049121698933,33.510331306485725
22,0.00031900173053145409,0.00027051674260292202,35.147462827121359,35.858209512623112
23,0.00028502551867859438,0.00023926064750412479,35.540676529081303,36.285023886467741
24,0.00024494365425198339,0.00021529365767491981,36.182125741301917,36.798698807589133
25,0.00035993986966786906,0.00030996771965874359,34.784904676268098,35.397654959153698
26,0.00032939715310931206,0.00030144841002766043,34.937506712091647,35.349675896884307
27,0.00027035740640712902,0.00022159658328746445,35.82940684247135,36.605884365942323
28,0.00027948008209932595,0.00024584522543591447,35.73149406874635,36.255626892856469
29,0.0002308117072971072,0.00020243185281287879,36.508270250743372,37.097354394316831
30,0.00023160524142440408,0.00018948805882246234,36.438000965060738,37.24904221953237
31,0.00023851280639064498,0.00021031327196396887,36.312059805996931,36.907118027693798
32,0.00022797787823947147,0.00019276210150565021,36.50886367684857,37.201627255115881
33,0.00021805107826367021,0.00019886064183083363,36.639755453793981,37.051359974387815
34,0.00022983864982961677,0.00019932640134356916,36.484900450981939,37.108540520019595
35,0.00053139034571358934,0.000476300876471214,32.920639384562882,33.436549762261308
36,0.00021223839212325402,0.00019138671632390469,36.779311162948993,37.213164408959109
37,0.00035155857040081173,0.0003192615695297718,34.56534107141087,34.987584408752362
38,0.00055880860600154847,0.00049122644850285724,32.582823916495201,33.153386145352719
39,0.00026550194888841361,0.00024073895838228054,36.161260718138621,36.61627177474076
40,0.00026320411416236311,0.00023787937971064821,35.854697987673646,36.317851647587254
41,0.00047901022480800748,0.00041007930121850222,33.626754166036754,34.312111758430618
42,0.00023952521587489173,0.00020050065359100699,36.302539678714737,37.03163040257769
43,0.00030400673858821392,0.00023477086506318301,35.268163240498481,36.408965819390005
44,0.00032339215977117419,0.00027944241446675733,35.008597385919856,35.623614698144834
45,0.00020873216635663994,0.00018087096759700216,36.921080419602703,37.470930715941037
46,0.00040461817116010934,0.0003658352725324221,34.043806688215938,34.484946843978776
47,0.0002149224492313806,0.00018800147518049926,36.864959284114853,37.419522495387845
48,0.00036081419966649264,0.00032353562710341066,34.483649155501162,34.931106336181998
49,0.00024693359591765329,0.00021343474509194493,36.232642656887599,36.83592606861626
