replicate,global_bootstrap_mse,ours_bootstrap_mse,global_paper_psnr,ours_paper_psnr,ours_minus_global_paper_psnr
0,0.0002234074188163504,0.00019490174454404042,36.50902409118771,37.10184273542926,0.5928186442415466
1,0.00023716455325484276,0.00020710410055471584,36.24950220350727,36.83811302213955,0.5886108186322829
2,0.00022510639653773977,0.0001957701286301017,36.47612164077338,37.08253573823977,0.6064140974663914
3,0.00022915754292625933,0.00019893616758054122,36.39865842991146,37.01286252809569,0.6142040981842314
4,0.00023173439229140058,0.00020397444284753875,36.35009506676373,36.90424244464337,0.5541473778796444
5,0.00022140521963592618,0.00019278271938674151,36.54812144828753,37.14931897877857,0.6011975304910351
6,0.00023041983193252235,0.0002009291638387367,36.374801444840735,36.96957023057576,0.5947687857350274
7,0.00022638948343228549,0.00019721976626897232,36.4514375148292,37.050495602297715,0.5990580874685136
8,0.0002686625850037672,0.00023403304192470386,35.707928108939996,36.30722822450855,0.5993001155685533
9,0.00022995652689132838,0.00019893244578270242,36.38354259268199,37.01294377885083,0.6294011861688418
10,0.00024214907782152295,0.0002126788580790162,36.15917180541813,36.72275680177087,0.5635849963527377
11,0.0002523350348928943,0.0002207691510557197,35.980224466511494,36.56061612384299,0.5803916573314964
12,0.00022599646967137233,0.00019565893773688004,36.45898344986305,37.085003086569884,0.626019636706836
13,0.00022388959245290608,0.0001935885933926329,36.49966094207153,37.131202357289595,0.6315414152180665
14,0.00024158718733815476,0.00021085550950374453,36.169261024014524,36.7601504669648,0.590889442950278
15,0.000232007822196465,0.0002017185077420436,36.344973725250796,36.9525425329197,0.6075688076689048
16,0.00022725237475242465,0.0001966238359455019,36.43491569771627,37.06363835475798,0.6287226570417062
17,0.00023847629665397108,0.00020884672907413914,36.22554781168788,36.80172322200039,0.5761754103125085
18,0.00023710950452368707,0.00020700504857813938,36.25051036998367,36.84019062548443,0.5896802555007596
19,0.0002324665055493824,0.0002046613598940894,36.33639612679296,36.88964144483674,0.5532453180437784
20,0.00022517160803545266,0.000197831914993003,36.47486370707358,37.03703645057968,0.5621727435060961
21,0.00024513986165402456,0.0002139170712325722,36.10586063334631,36.6975455602562,0.5916849269098918
22,0.00024307008396135644,0.0002130612524342723,36.142684889970326,36.714955244015016,0.5722703540446901
23,0.00024100843351334333,0.00021123089594766498,36.179677600632026,36.75242558873829,0.5727479881062649
24,0.00023564665782032534,0.00020462156448047608,36.27738715465065,36.89048599160684,0.6130988369561905
25,0.0002334481876459904,0.0002052119461586699,36.3180949332624,36.87797360910239,0.5598786758399896
26,0.00023419033153913914,0.00020475870638620109,36.30431038579947,36.88757622875989,0.5832658429604223
27,0.00023772551299771293,0.00020685856405179947,36.23924206746644,36.84326494379553,0.6040228763290898
28,0.00024153141159331427,0.00020981991721782833,36.17026380463069,36.78153288653253,0.6112690819018383
29,0.00023404791310895233,0.00020592943765223025,36.30695226911275,36.862815664655095,0.555863395542346
30,0.0002377750535379164,0.00020811242226045578,36.238337118667935,36.817019959144965,0.578682840477029
31,0.00025122158956946805,0.00021956585260340944,35.99943040778846,36.584352014671694,0.5849216068832348
32,0.0002436419905279763,0.0002130844155908562,36.13247861018487,36.714483122303946,0.5820045121190773
33,0.00023520145536167546,0.00020556900621159,36.28559995293224,36.87042363635654,0.5848236834243039
34,0.0002350103430217132,0.00020537812873953952,36.28913023607378,36.87445807445051,0.5853278383767275
35,0.00023881708446424455,0.0002075745421461761,36.219346079315,36.8282591134092,0.6089130340942006
36,0.00023267832963028923,0.0002031874272506684,36.332440626102695,36.92103168654791,0.5885910604452178
